% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.655962970e+01 +1.655962970e+01 +2.342962970e+01 +2.342962970e+01 +9.2100e-02 +1.6642e+00 +3.7734e+00 -2.0426e+00 +5.5403e-01 -8.8479e-01 +1.0538e+00 -2.3531e+00 +3.5934e+00 -1.9376e+00 +3.6808e+00 +1.0264e+00 +2.9985e-01 -2.0544e+00 -3.5152e+00 -5.6091e-01 +3.4889e+00 +3.2792e+00 +3.7555e+00 +1.6579e+00
5 +3.686171237e+00 +3.686171237e+00 +1.055617124e+01 +1.055617124e+01 +1.6836e+00 +3.6667e+00 +4.6779e+00 -1.2087e+00 +3.1693e+00 -2.6678e+00 +2.9768e-01 -3.9194e+00 +3.9224e+00 -5.1321e-01 +3.5551e+00 +1.1634e+00 -1.6394e+00 -1.3107e-01 -1.5470e+00 +1.9755e+00 +2.2363e-01 +2.7158e-01 +3.4785e+00 +4.3909e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.355565120e+01 +1.355565120e+01 +1.356565120e+01 +1.356565120e+01 +2.9354e+00 +3.0761e+00 +1.0198e+00 +2.3097e+00 -3.2461e+00 +2.0851e-01 +3.6747e+00 +1.9989e+00 +1.8686e-01 -1.9307e+00 +3.1084e+00 -1.9959e+00 -2.7726e+00 +3.8983e-02 -2.4024e+00 +3.9649e+00 -1.8673e+00 -1.0430e-01 -2.4098e+00 -4.6644e-01
36 +5.131989435e+00 +5.131989435e+00 +5.141989435e+00 +5.141989435e+00 +5.7023e+00 +4.2894e+00 +2.2859e+00 +3.5981e+00 +1.9708e+00 -2.9968e+00 +2.2525e+00 +2.1451e+00 -1.2171e+00 -5.1502e+00 +2.1737e+00 -5.3105e+00 -4.0440e+00 -3.5580e+00 -1.6074e+00 +4.9005e+00 -8.7722e-01 -1.1057e+00 -1.8704e+00 -2.9055e+00
2252 +2.956548698e+00 +2.956548698e+00 +2.966548698e+00 +2.966548698e+00 +3.1767e+00 +4.2461e+00 -1.1122e+00 -2.1093e+00 -3.3141e+00 -4.5569e+00 +2.3641e+00 +2.1992e+00 +3.5914e+00 +2.5721e+00 +1.0906e+00 +1.5822e+00 -4.1064e+00 -2.1021e+00 -2.2468e+00 -7.8132e-02 +2.1249e+00 +3.1629e+00 -2.1455e+00 -2.7707e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.600673888e+00 +4.600673888e+00 -1.260093261e+02 -1.260093261e+02 +1.7954e+00 +2.5814e+00 -7.9745e-01 -3.2336e+00 -9.2519e-01 -1.2214e+00 +2.5934e+00 -2.2373e+00 -1.0810e+00 +8.3814e-01 -9.3225e-01 +1.4019e-01 +1.8723e+00 -2.0741e+00 +1.8863e+00 -8.3892e-01 -1.8549e+00 +2.5901e-01 +8.1229e-01 -1.9564e+00
3362 +3.975418000e+00 +3.975418000e+00 -1.266345820e+02 -1.266345820e+02 -4.2718e+00 +1.8129e-01 -1.9559e+00 -1.4460e+00 -1.6924e+00 -4.5625e+00 +1.6823e+00 -2.6510e+00 +1.4810e+00 +3.2780e-01 -2.6384e+00 -2.1301e-01 +2.1406e+00 +3.0872e+00 -2.0415e+00 +6.0270e-01 -2.3576e+00 +2.5112e+00 +9.8098e-01 -3.2026e+00
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
