% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.032692511e+03 +2.032692511e+03 +1.570602511e+03 +1.570602511e+03 +2.5333e+00 -1.1551e+00 -3.7206e+00 -2.4213e+00 +5.1931e-01 +1.0079e-01 +2.7004e+00 +1.7945e+00 +3.5537e+00 -2.0975e+00 +3.4327e+00 -2.1731e+00 +2.2923e+00 +3.0338e+00 +3.7532e-01 +1.2802e+00 -3.3463e+00 +2.2950e+00 -3.9668e+00 -9.0359e-01
19 +1.252430188e+03 +1.252430188e+03 +7.903401883e+02 +7.903401883e+02 +1.3285e+00 -2.3306e+00 -6.9641e-01 -3.0479e+00 +3.7414e+00 +5.6379e-01 +5.5466e+00 +1.7213e+00 -9.7489e-02 -2.9554e+00 +1.5836e+00 -8.8913e-01 +4.2099e+00 +6.6518e-01 -2.7621e-01 +1.4703e-01 -2.3031e+00 +8.4526e-01 -6.6108e+00 -2.1886e-01
27 +9.593332500e+02 +9.593332500e+02 +4.972432500e+02 +4.972432500e+02 +3.2873e+00 -1.1609e+00 +1.5405e+00 -6.6100e-01 +4.1482e+00 +3.9191e+00 +6.0616e+00 +1.4196e+00 +5.0242e+00 -1.5186e+00 +7.3674e-01 -3.9879e+00 +1.2344e+00 +1.6360e+00 +2.5818e+00 -1.4767e+00 -7.1606e-01 +3.4609e+00 -4.3476e+00 -2.5728e-01
46 +5.322365693e+02 +5.322365693e+02 +7.014656930e+01 +7.014656930e+01 +5.2344e-01 -1.5288e+00 +1.4314e+00 -2.2271e-01 +1.9968e+00 -6.3281e-01 +6.4675e+00 +2.3522e+00 +4.9645e+00 -2.3024e+00 -1.1422e+00 -2.6336e+00 +3.7267e+00 -1.7995e+00 +6.5784e-02 -4.1628e+00 -1.0081e+00 +2.2333e+00 -4.2757e+00 +5.6450e-01
75 +3.904663124e+02 +3.904663124e+02 -7.162368761e+01 -7.162368761e+01 +1.7978e+00 -2.4307e+00 -4.3458e-01 -7.7391e-01 +2.1813e+00 -6.5893e-01 +5.6189e+00 +4.5344e+00 +8.5505e-01 -1.2754e-01 -4.8855e-01 -4.1274e+00 +1.7279e+00 -3.9591e+00 -3.0732e+00 -3.3287e+00 +2.1036e+00 +4.2467e+00 -2.8493e+00 +2.4639e+00
299 +2.433263678e+02 +2.433263678e+02 -2.187636322e+02 -2.187636322e+02 -2.6301e+00 -3.6191e+00 +2.1744e+00 -1.8225e+00 +3.8926e+00 +2.7166e+00 +2.6121e+00 +2.6958e+00 +1.2990e+00 -2.2489e+00 -3.1517e+00 -3.2049e+00 +2.0908e+00 -1.9618e+00 -1.8815e+00 -4.2113e+00 -1.0539e+00 +1.2599e+00 -2.8157e+00 +2.0935e+00
731 +1.474456826e+02 +1.474456826e+02 -3.146443174e+02 -3.146443174e+02 -1.4049e+00 -6.4504e-01 +1.1699e+00 +8.6272e-01 +3.8804e+00 +3.6161e+00 +3.7908e+00 +2.6021e+00 +1.7897e+00 +5.0433e-01 -2.4834e+00 -3.9681e+00 -1.0939e+00 -2.9512e+00 -1.7593e+00 -5.0618e+00 -8.1891e-01 +1.9100e+00 -2.8203e+00 +1.6842e+00
2829 +9.331407603e+01 +9.331407603e+01 -3.687759240e+02 -3.687759240e+02 -3.3738e+00 +3.2475e-01 +1.3095e+00 +1.5764e+00 +3.7083e+00 +3.4906e+00 +2.5956e+00 +1.8036e+00 +1.1071e+00 -3.4347e-01 -3.4810e+00 -4.4419e+00 +3.0910e-01 -2.4784e+00 -1.7429e+00 -4.7168e+00 +9.4966e-02 +2.5796e+00 -2.4664e+00 +1.5613e+00
2971 +6.143602075e+01 +6.143602075e+01 -4.006539792e+02 -4.006539792e+02 -3.3292e+00 +4.5763e-01 +1.2290e+00 +1.5992e+00 +3.7507e+00 +3.6087e+00 +2.6186e+00 +1.8550e+00 +1.1019e+00 -4.8199e-01 -3.4562e+00 -4.2563e+00 +3.9288e-01 -2.4511e+00 -1.8311e+00 -4.7730e+00 +8.1775e-02 +2.6209e+00 -2.4827e+00 +1.4561e+00
3278 +3.753757653e+01 +3.753757653e+01 -4.245524235e+02 -4.245524235e+02 -3.3324e+00 +4.9409e-01 +1.2792e+00 +1.6173e+00 +3.7794e+00 +3.7419e+00 +2.5589e+00 +1.8832e+00 +1.1659e+00 -5.6310e-01 -3.3608e+00 -4.3247e+00 +3.7319e-01 -2.4522e+00 -1.8075e+00 -4.7580e+00 +9.2661e-02 +2.6000e+00 -2.4250e+00 +1.5139e+00
