% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.854732727e+05 +2.854732727e+05 +2.849267727e+05 +2.849267727e+05 -4.9786e+00 -1.0596e+00 +9.6877e-01 -3.5664e+00 -3.1443e+00 +3.1714e+00 -1.1084e+00 +2.5048e+00 +1.8400e+00 -6.1278e-01 -1.2078e+00 -3.2262e+00 -3.7913e-02 +3.0056e+00 +3.5200e+00 -1.7636e+00 -3.5923e+00 -3.9118e+00 +3.9144e+00 -3.2584e+00
2 +8.847111871e+04 +8.847111871e+04 +8.792461871e+04 +8.792461871e+04 +1.5895e+00 -4.4148e+00 -3.8250e+00 +1.2959e+00 -4.9704e+00 +1.4785e+00 -5.8986e-01 -7.0550e-01 +2.1505e+00 -1.2701e+00 -1.1921e+00 +3.2250e+00 +3.6667e+00 +9.8966e-01 -2.4232e+00 -1.6658e+00 +1.4408e+00 -1.1436e-01 -2.8863e+00 +4.2624e+00
204 +6.156040553e+04 +6.156040553e+04 +6.101390553e+04 +6.101390553e+04 -1.7612e+00 -4.7680e+00 -2.2389e+00 +3.3252e+00 -9.5890e-02 +4.2429e+00 -2.5824e+00 -2.1704e+00 -1.3980e+00 -1.2069e+00 +4.0797e+00 +2.4674e+00 +2.0642e+00 -1.3642e+00 -1.1269e+00 +2.3161e+00 +4.9386e+00 -8.4825e-01 -1.9245e+00 +1.0065e+00
211 +3.780971369e+04 +3.780971369e+04 +3.726321369e+04 +3.726321369e+04 -2.1034e+00 -1.4874e+00 -5.4150e+00 +1.0397e+00 -4.3854e+00 +1.9611e+00 -2.1564e+00 -3.4098e+00 -7.8089e-01 -1.1890e+00 +2.1793e+00 +3.2473e+00 +2.1327e+00 -4.6839e-01 -5.8457e-01 -4.8681e-01 +2.4902e+00 -1.9623e+00 -3.2351e+00 +2.0519e+00
250 +2.313116738e+04 +2.313116738e+04 +2.258466738e+04 +2.258466738e+04 -1.2137e+00 -7.2060e-01 -2.1720e+00 +4.9495e-01 -1.9689e+00 +3.5206e-02 -2.4934e+00 -3.3857e+00 +2.4885e-01 -2.1469e+00 +1.9103e+00 +1.6453e+00 +6.6451e-01 -1.0552e-01 -1.2341e+00 -4.1853e-01 +3.3688e+00 -1.5876e+00 -2.1620e+00 +7.3465e-01
348 +1.534023820e+04 +1.534023820e+04 +1.479373820e+04 +1.479373820e+04 -2.9763e+00 +8.3711e-01 -3.7985e+00 -5.1442e-01 -4.2518e+00 -8.5709e-01 -3.8354e+00 -3.0087e+00 -1.8672e+00 -9.1703e-01 +2.5997e+00 +1.8614e+00 +1.2864e+00 +1.4129e-01 +3.5144e-01 +9.2176e-02 +2.2932e+00 -1.6542e+00 -1.2167e+00 +4.7763e-01
410 +7.162943527e+03 +7.162943527e+03 +6.616443527e+03 +6.616443527e+03 -3.1430e-01 +2.2983e-01 -3.1859e+00 -3.4037e-01 -3.9540e+00 -1.8354e+00 -2.2629e+00 -1.3866e+00 -2.9196e+00 -5.7381e-01 +1.8070e+00 +2.5891e+00 +7.7246e-02 -6.3397e-01 +4.3501e-01 -8.4551e-01 +2.6996e+00 -2.6089e-01 -2.2956e+00 +9.2778e-01
447 +5.059955600e+03 +5.059955600e+03 +4.513455600e+03 +4.513455600e+03 +1.9115e+00 +1.6683e+00 -1.8706e+00 -1.7652e+00 -3.7587e+00 -1.5597e+00 -1.6317e+00 -5.8293e-01 +1.6082e-01 -3.5358e-01 +3.4001e-01 +9.8500e-01 -5.8311e-01 -8.3968e-01 +1.0627e+00 -5.0720e-01 +1.9428e+00 -1.6319e-01 -2.8402e+00 +1.2036e+00
465 +3.474951145e+03 +3.474951145e+03 +2.928451145e+03 +2.928451145e+03 +2.2018e+00 +4.3345e-01 -2.6952e+00 -2.4754e+00 -2.4376e+00 -1.7779e+00 +4.0779e-01 -6.3651e-01 +3.5212e-01 +2.4180e-01 +1.5817e-01 +1.7045e+00 -5.7011e-01 -1.6705e+00 -2.4465e-01 -1.3781e+00 +2.5168e+00 +2.2984e-01 -2.6805e+00 +9.5466e-01
654 +2.411160036e+03 +2.411160036e+03 +1.864660036e+03 +1.864660036e+03 +1.4209e+00 +1.0134e+00 -1.8482e+00 -2.7596e+00 -3.0352e+00 -1.5756e+00 -1.0508e+00 -2.9752e-01 +2.8429e-01 -2.0150e-01 +9.8084e-02 +1.3269e+00 -5.4340e-01 -1.2790e+00 +1.7596e-01 -3.4015e-01 +2.1371e+00 -4.1137e-01 -1.8146e+00 +7.9045e-01
