% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.446877619e+05 +4.446877619e+05 +4.448115919e+05 +4.448115919e+05 +4.8917e+00 -6.2841e-01 -4.4410e+00 +4.3038e+00 +3.2695e+00 +1.9202e-01 -2.5849e+00 -3.8104e+00 +4.8934e-01 -3.2486e+00 -3.2966e+00 -2.0329e+00 -1.2491e-01 +4.8006e+00 +2.8808e-01 +2.5054e+00 +3.5723e+00 +7.7706e-01 -1.0098e+00 +7.8869e-01
2 +2.107379158e+05 +2.107379158e+05 +2.108617458e+05 +2.108617458e+05 +2.5628e+00 +1.8575e-01 -3.1116e+00 -3.1939e+00 +1.6773e+00 +1.0216e+00 +1.4064e+00 -2.3794e+00 +3.5962e+00 +4.6279e+00 +3.3100e+00 -4.3528e+00 +4.3006e+00 +1.7069e-01 -3.8951e+00 -2.2079e+00 +2.6506e-01 +2.3800e+00 -1.8935e+00 +2.5071e-01
11 +1.288096542e+05 +1.288096542e+05 +1.289334842e+05 +1.289334842e+05 -2.0348e-01 -1.2148e+00 -3.1547e+00 +1.7534e+00 -3.1130e+00 +1.3284e+00 +4.7975e-01 -1.8288e+00 -1.9818e+00 +2.9094e+00 +1.1482e-01 -2.2083e+00 +2.5753e+00 -4.1274e-01 -2.4894e+00 -2.9489e+00 +1.5517e+00 -4.8478e+00 -2.1305e+00 -3.5031e+00
52 +9.396467986e+04 +9.396467986e+04 +9.408850986e+04 +9.408850986e+04 +1.5909e+00 -1.9658e+00 -9.8425e-01 +1.3121e+00 -4.8991e+00 -6.9511e-01 -1.3784e+00 +1.0619e+00 -2.8977e+00 +4.0736e+00 -9.6063e-01 -1.2923e+00 -2.1136e+00 -3.8998e+00 +2.2742e+00 -2.1104e+00 -2.3197e+00 +5.2548e-01 -3.0091e+00 -2.9915e+00
104 +5.372346646e+04 +5.372346646e+04 +5.384729646e+04 +5.384729646e+04 +8.7812e-02 -1.8595e+00 -5.1446e-01 +5.6144e-01 -2.0718e+00 +1.0411e+00 -2.2409e-01 +3.0647e-01 +3.0917e+00 -2.6962e+00 -1.7064e+00 -1.2003e+00 -1.3316e+00 -1.8867e+00 -8.0072e-01 +5.9189e-01 -4.4881e+00 -2.6638e+00 -2.3275e+00 +2.9679e-01
121 +2.002443124e+04 +2.002443124e+04 +2.014826124e+04 +2.014826124e+04 -1.5742e-01 -2.3118e+00 -1.2660e+00 -1.1352e+00 -2.5219e+00 -8.9222e-01 +3.5290e-01 +1.1716e+00 +8.7298e-01 -1.1594e-01 -2.2847e+00 -2.2183e+00 -2.9305e-01 -1.6299e+00 +8.3317e-01 -1.9030e-02 -1.1677e+00 -1.5844e+00 -4.5340e-01 -3.2076e+00
149 +1.309630239e+04 +1.309630239e+04 +1.322013239e+04 +1.322013239e+04 +1.4785e+00 +3.7056e-02 -3.1445e-01 -1.3670e+00 -1.5888e+00 +1.2976e+00 +2.5622e-01 -7.6280e-01 +1.0376e+00 -1.2843e+00 -2.1936e+00 -2.3618e+00 -3.3090e-01 +2.0946e-01 -1.1822e+00 +2.3801e-02 -5.5380e-01 -9.4399e-01 -3.9541e-01 -2.4929e+00
387 +4.269004606e+03 +4.269004606e+03 +4.392834606e+03 +4.392834606e+03 +1.2448e+00 +3.1582e-01 +5.7578e-01 +1.4307e+00 -1.0156e+00 +1.2778e+00 +2.9192e-01 -2.1268e+00 +2.8326e-01 +6.2307e-01 -1.5360e+00 -4.2209e-01 +2.0237e+00 +3.0389e-01 +2.7298e-01 +7.4664e-01 -2.0662e+00 +3.4170e-01 -6.9265e-01 -5.4307e-01
510 +3.253494553e+03 +3.253494553e+03 +3.377324553e+03 +3.377324553e+03 +6.7890e-01 +9.3112e-03 +7.4369e-01 +1.2788e+00 -2.7571e-01 +9.0022e-01 -5.7010e-01 -1.6769e+00 -5.2402e-01 +5.6068e-01 -1.4208e+00 -6.6767e-01 +1.4102e+00 +1.9322e-01 +9.5658e-02 +3.0472e-01 -1.3266e+00 +3.5186e-01 -6.9401e-01 -9.0527e-01
582 +2.130994371e+03 +2.130994371e+03 +2.254824371e+03 +2.254824371e+03 -5.0446e-02 -3.3315e-01 +5.1925e-01 +1.3108e+00 -1.5165e-01 +1.0882e+00 +2.0971e-01 -3.5093e-01 +1.4505e-01 +1.3677e-01 -1.2797e+00 -9.1745e-01 +1.7598e+00 -5.5546e-01 -4.7969e-01 +1.4236e+00 -1.5809e+00 +8.3584e-01 -7.8010e-01 +2.1811e-01
