% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.001323613e+02 +3.001323613e+02 +3.796123613e+02 +3.796123613e+02 -4.5908e+00 -4.3322e+00 -4.7084e+00 -2.8194e+00 -4.4939e+00 +6.1326e-01 -3.7040e+00 +4.7563e+00 +1.6157e+00 -3.4257e+00 -1.4568e+00 -3.8621e+00 +2.6117e+00 +3.1645e+00 +1.1129e+00 -2.3366e+00 +4.3357e-01 +4.3224e+00 +3.9494e+00 -3.3061e+00
3 +2.153552710e+02 +2.153552710e+02 +2.948352710e+02 +2.948352710e+02 +1.2988e+00 -4.2056e+00 -4.4108e-01 -3.7508e-02 +4.9164e+00 -4.7741e+00 -1.2306e+00 +2.1711e+00 -1.6834e+00 -2.4654e+00 +6.4269e-01 +3.0819e+00 -4.7390e+00 -7.0277e-01 +1.9233e+00 +4.3450e+00 +2.2982e+00 -3.5389e-01 -2.5725e+00 -1.2184e+00
29 +1.444489196e+02 +1.444489196e+02 +2.239289196e+02 +2.239289196e+02 -2.5517e-01 -1.0190e+00 -2.6300e+00 +1.1759e+00 -3.3169e+00 +2.9155e+00 -4.3487e+00 -8.1577e-01 +3.2263e+00 -3.0688e+00 -4.9593e-01 -2.8274e-01 +1.0922e+00 +3.0190e+00 +4.5763e+00 -2.5503e+00 +2.2994e+00 -1.2447e+00 -1.8554e+00 -4.4791e-01
455 +9.107381334e+01 +9.107381334e+01 +1.705538133e+02 +1.705538133e+02 -2.3586e+00 -4.6798e+00 +6.7538e-01 +1.3488e+00 -4.7048e+00 +6.3135e-01 +2.1428e+00 +6.8110e-01 +4.0927e-01 -4.1383e+00 -1.9521e-01 +2.1405e+00 +1.9179e+00 -2.0486e+00 -8.3122e-01 +3.0540e+00 +3.5209e+00 -4.9455e+00 +3.8163e+00 +1.7668e+00
957 +4.261030283e+01 +4.261030283e+01 +1.220903028e+02 +1.220903028e+02 -2.3586e+00 -6.7978e-01 +6.7538e-01 +1.3488e+00 -4.1423e+00 +6.3135e-01 +2.1428e+00 +6.8110e-01 -3.1194e-02 -3.0757e+00 -1.6931e+00 +3.8272e+00 +3.4525e+00 -5.5214e-02 +3.4391e+00 +4.5678e+00 +1.6524e+00 -2.7816e+00 +3.8163e+00 +1.7668e+00
1229 +3.535177763e+01 +3.535177763e+01 +1.148317776e+02 +1.148317776e+02 -2.3274e+00 -6.7978e-01 +6.7538e-01 +1.3488e+00 -4.1423e+00 +6.3135e-01 +2.1428e+00 +6.8110e-01 -3.1194e-02 -3.0757e+00 -2.2939e+00 +2.3905e+00 +9.1793e-01 -2.0486e+00 +3.4391e+00 +4.5678e+00 +1.6524e+00 -2.7816e+00 +3.8163e+00 +1.7668e+00
2281 +2.464899344e+01 +2.464899344e+01 +1.041289934e+02 +1.041289934e+02 -2.3586e+00 -6.7978e-01 +6.7537e-01 +7.4317e-01 -2.9505e+00 +3.1351e-01 +1.9661e+00 +5.5088e-01 -1.9537e+00 -3.0537e+00 -4.2124e+00 +2.3905e+00 +2.0659e+00 -5.5214e-02 +3.4391e+00 +4.5678e+00 +1.6524e+00 -2.9963e+00 +3.5082e+00 +1.7668e+00
3335 +1.525181473e+01 +1.525181473e+01 +9.473181473e+01 +9.473181473e+01 -8.1784e-01 -6.7978e-01 +6.7532e-01 +1.3488e+00 -2.9505e+00 +3.1351e-01 +1.9661e+00 +5.5088e-01 -1.9537e+00 -3.0537e+00 -4.2124e+00 +3.1491e+00 +2.0659e+00 -7.1511e-01 +2.1371e+00 +3.3118e+00 +4.1026e-01 -4.7694e+00 +2.1360e+00 +2.1446e+00
3889 +9.969714127e+00 +9.969714127e+00 +8.944971413e+01 +8.944971413e+01 -8.1784e-01 -6.7978e-01 +7.4177e-01 +1.7863e+00 -2.9505e+00 +3.1351e-01 +9.6615e-01 +5.1572e-01 -1.9537e+00 -3.0537e+00 -4.2124e+00 +3.1530e+00 +2.0659e+00 -3.9589e-02 +3.4391e+00 +3.8118e+00 +4.1026e-01 -4.7723e+00 +2.1365e+00 +2.1446e+00
4415 +6.169566475e+00 +6.169566475e+00 +8.564956648e+01 +8.564956648e+01 -8.1784e-01 -6.7975e-01 -6.7563e-01 +2.7439e+00 -2.9505e+00 +2.5101e-01 +9.6613e-01 +5.4697e-01 -1.7076e+00 -3.0539e+00 -4.2124e+00 +2.3905e+00 +7.9293e-01 -5.5214e-02 +3.4391e+00 +3.8117e+00 -3.8302e-01 -4.7684e+00 +2.1360e+00 +2.1446e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.865740522e+02 +2.865740522e+02 +6.810540522e+02 +6.810540522e+02 -2.9956e+00 -1.5436e+00 -2.4645e+00 +3.3546e+00 +3.6576e+00 +5.5994e-01 +4.9510e+00 -9.9577e-01 +2.1005e+00 +3.4681e+00 -1.0422e+00 +1.7630e+00 +4.4599e-02 +2.9432e+00 +4.2573e+00 -4.3140e+00 +3.6454e-02 +2.0602e+00 -3.0485e+00 -4.9042e+00
3 +1.834709686e+02 +1.834709686e+02 +5.779509686e+02 +5.779509686e+02 -1.6907e+00 -1.4394e+00 -3.8451e+00 +3.6731e+00 -4.5208e+00 +2.1477e+00 +4.7588e+00 -1.0982e+00 -2.3274e+00 -3.3325e+00 -5.5615e-01 +8.0171e-01 +4.8504e+00 -2.7446e-01 -2.7044e+00 -2.1975e+00 +2.2322e+00 +1.0704e+00 -3.2752e+00 +4.8437e+00
56 +1.546272398e+02 +1.546272398e+02 +5.491072398e+02 +5.491072398e+02 -4.5614e+00 -3.0557e+00 -3.3214e+00 +3.5054e+00 +4.0345e+00 -6.0940e-01 +1.9369e-01 -1.3736e+00 -1.1610e-02 +4.7018e+00 +2.2482e+00 -1.9429e+00 -2.3111e-01 +3.6822e+00 +5.7404e-01 +3.5029e+00 -4.0438e+00 -4.5377e+00 +3.2595e+00 +3.4252e-01
236 +9.309916619e+01 +9.309916619e+01 +4.875791662e+02 +4.875791662e+02 -2.7743e+00 +1.9865e+00 -3.4334e+00 +4.9372e+00 +4.2344e+00 -1.4130e-01 +2.6628e+00 -3.3441e+00 +1.7869e+00 -2.7343e+00 +2.6483e+00 +5.0224e-01 +4.5225e+00 +1.5626e+00 -1.5422e+00 +3.5967e+00 -2.9604e+00 -3.2997e+00 +2.6201e+00 +1.4971e-01
857 +6.276144122e+01 +6.276144122e+01 +4.572414412e+02 +4.572414412e+02 -3.0359e+00 -2.7378e+00 -1.8546e+00 +7.2067e-01 +3.6011e+00 -2.8952e+00 +8.2204e-01 -2.4988e+00 -4.9331e+00 -4.8957e+00 +2.4590e-01 +3.0445e+00 +2.7173e+00 +4.1051e+00 -2.9388e+00 +3.4165e+00 -1.6472e+00 -2.0219e+00 +1.2737e+00 +2.0909e+00
1385 +3.148239215e+01 +3.148239215e+01 +4.259623922e+02 +4.259623922e+02 -3.0359e+00 -2.7378e+00 -1.8546e+00 +2.5668e+00 +1.7315e+00 -1.5522e-02 +1.9722e+00 -5.9657e-01 -1.9243e-01 -1.5368e+00 +1.1941e+00 +2.8895e+00 +2.1531e+00 +4.1051e+00 -2.9388e+00 +3.4165e+00 -1.6472e+00 -2.0219e+00 +1.2737e+00 +2.0909e+00
1773 +2.006164948e+01 +2.006164948e+01 +4.145416495e+02 +4.145416495e+02 -3.0359e+00 -2.7378e+00 -1.8546e+00 +2.2911e+00 +1.9214e+00 -2.8952e+00 +4.7588e+00 -1.0982e+00 -2.3274e+00 -2.7343e+00 +7.3203e-01 +1.6756e+00 +1.1504e+00 +4.1051e+00 -2.9388e+00 +3.4165e+00 -1.6472e+00 -2.0219e+00 +1.2737e+00 +2.0284e+00
2401 +1.503165347e+01 +1.503165347e+01 +4.095116535e+02 +4.095116535e+02 -3.0359e+00 -3.0557e+00 -3.0714e+00 +2.5688e+00 +1.9835e+00 -3.0179e+00 +1.9178e+00 -1.3736e+00 -1.1610e-02 -3.0054e+00 +1.9117e+00 +1.6756e+00 +2.7173e+00 +4.1051e+00 -2.9388e+00 +3.4165e+00 -1.6472e+00 -4.5667e-01 +9.8757e-01 +2.0909e+00
3530 +8.591327523e+00 +8.591327523e+00 +4.030713275e+02 +4.030713275e+02 -3.0359e+00 -3.0401e+00 -3.3214e+00 +3.7514e+00 +1.7320e+00 -3.0179e+00 +1.9722e+00 -5.9657e-01 -9.6572e-03 -3.0054e+00 +1.9117e+00 +1.6756e+00 +1.1504e+00 +3.7682e+00 -3.9045e+00 +2.8746e+00 -2.1598e+00 -3.9417e-01 +9.8757e-01 +2.0909e+00
5012 +6.062784387e+00 +6.062784387e+00 +4.005427844e+02 +4.005427844e+02 -3.0359e+00 -3.0560e+00 -3.8214e+00 +3.7563e+00 +1.7315e+00 -2.7702e+00 +3.9722e+00 -5.9645e-01 -1.1610e-02 -3.0049e+00 +1.9117e+00 +6.7555e-01 +1.1504e+00 +3.7682e+00 -3.9045e+00 +2.8746e+00 -2.1598e+00 -4.5667e-01 -4.4332e-01 +2.0909e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.662489458e+02 +2.662489458e+02 +1.913894580e+01 +1.913894580e+01 +4.0743e+00 +1.9597e+00 +2.4887e-01 -3.3468e-03 +9.4411e-01 +4.7777e+00 +1.9030e+00 +4.1650e-02 +3.9838e+00 -3.2461e+00 +1.1236e+00 +1.3971e+00 -7.1882e-03 +1.6252e+00 +4.6030e+00 -4.9785e+00 +2.3263e+00 -2.0018e+00 -4.4016e+00 +2.4468e+00
2 +1.467949495e+02 +1.467949495e+02 -1.003150505e+02 -1.003150505e+02 -2.8655e-01 +8.9150e-01 -2.6685e+00 -2.4178e+00 -5.1448e-01 -6.3919e-01 +4.7618e+00 -2.7525e-01 -3.5501e+00 +7.5234e-01 +7.0153e-02 +2.0432e+00 +1.1083e+00 -1.9655e+00 +1.3372e+00 -1.1037e+00 -2.4277e+00 +3.0490e+00 +5.1958e-01 -3.2679e+00
357 +8.748991935e+01 +8.748991935e+01 -1.596200807e+02 -1.596200807e+02 -2.5971e+00 +1.3638e-01 -5.0941e-01 -4.9536e+00 -4.2883e+00 +3.6862e+00 +2.2371e+00 -3.8889e+00 -7.7892e-01 +4.7086e+00 -9.0158e-01 +5.5709e-01 -9.4152e-01 +1.9570e+00 -4.4258e-01 -4.2212e+00 +2.7718e+00 -2.7069e+00 +1.9880e+00 +1.0490e+00
981 +6.050479639e+01 +6.050479639e+01 -1.866052036e+02 -1.866052036e+02 -4.9191e+00 -3.6030e+00 -2.8222e+00 -4.0441e+00 -3.5646e+00 +3.6657e+00 +3.1723e+00 -1.4106e+00 -1.2359e+00 -7.4076e-01 +3.1135e+00 +1.4373e-02 +1.9517e+00 -5.0770e-01 +4.4479e+00 +5.5438e-01 +2.5330e+00 -3.5712e+00 +2.2250e+00 +1.0044e+00
1415 +3.120544150e+01 +3.120544150e+01 -2.159045585e+02 -2.159045585e+02 -2.5971e+00 +1.3638e-01 -5.0941e-01 -4.9536e+00 -2.0664e+00 +3.6862e+00 +2.2371e+00 -3.8889e+00 -7.7892e-01 +2.1555e+00 +4.1522e+00 +1.4373e-02 +1.9517e+00 -5.0380e-01 +4.4479e+00 +5.5438e-01 -8.2271e-01 +4.2948e-01 +1.9860e+00 +1.0490e+00
2005 +2.190564181e+01 +2.190564181e+01 -2.252043582e+02 -2.252043582e+02 -2.5971e+00 +1.3638e-01 -5.0160e-01 -4.9536e+00 -4.2883e+00 +3.6862e+00 +2.2369e+00 -3.8889e+00 -7.7892e-01 +1.1881e+00 +2.1139e+00 +2.7040e+00 +3.1195e+00 -5.0770e-01 +6.4479e+00 +5.5438e-01 +2.5330e+00 +4.2948e-01 +1.2694e+00 +6.9330e-02
2259 +1.544542932e+01 +1.544542932e+01 -2.316645707e+02 -2.316645707e+02 -2.5971e+00 +1.3638e-01 -5.0941e-01 -4.0443e+00 -4.2883e+00 +3.6706e+00 +2.2371e+00 -3.8889e+00 -7.7892e-01 +1.1881e+00 +2.3566e+00 +1.4373e-02 +1.9517e+00 -5.0770e-01 +4.4479e+00 +5.5438e-01 +2.6108e+00 -3.9177e-01 +1.2694e+00 +1.0490e+00
3031 +9.940555576e+00 +9.940555576e+00 -2.371694444e+02 -2.371694444e+02 -2.6050e+00 +1.3638e-01 -5.0941e-01 -4.0441e+00 -3.5646e+00 +3.6862e+00 +2.2371e+00 -3.8811e+00 -7.7892e-01 +2.9200e+00 +2.1139e+00 +2.7040e+00 +3.1195e+00 -9.2438e-02 +4.4479e+00 +5.5438e-01 +2.5330e+00 +1.0164e-01 +1.2694e+00 +1.0490e+00
4112 +5.769106403e+00 +5.769106403e+00 -2.413408936e+02 -2.413408936e+02 -2.8471e+00 +1.3638e-01 -6.4418e-02 -4.0441e+00 -3.5646e+00 +1.6862e+00 +2.2381e+00 -3.8889e+00 -6.4947e-01 +2.6477e+00 +2.1139e+00 +1.0378e+00 +3.1234e+00 -9.2438e-02 +4.1540e+00 +5.5438e-01 +2.5408e+00 +4.2948e-01 +1.9860e+00 +1.0568e+00
4349 +3.941134900e+00 +3.941134900e+00 -2.431688651e+02 -2.431688651e+02 -3.7221e+00 +1.3639e-01 -5.0941e-01 -4.0443e+00 -3.5646e+00 +2.1140e+00 +2.2371e+00 -3.8889e+00 -6.5337e-01 +2.6477e+00 +2.1139e+00 +1.0066e+00 +3.1234e+00 -9.2438e-02 +4.1540e+00 +5.5438e-01 +2.6108e+00 +3.0445e-01 +1.9855e+00 +1.0177e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.008823837e+02 +4.008823837e+02 +2.488423837e+02 +2.488423837e+02 -4.8525e+00 -4.5986e+00 +3.9507e-01 +1.0445e+00 +3.3051e+00 -4.2351e+00 +4.8233e+00 -4.5124e+00 -3.7928e+00 -2.3598e+00 +8.7186e-01 +9.9039e-01 +4.3789e+00 +4.6742e+00 -3.2833e+00 +3.7825e+00 -1.5192e+00 -1.4618e+00 +2.4652e+00 -3.9346e+00
2 +3.198909162e+02 +3.198909162e+02 +1.678509162e+02 +1.678509162e+02 -1.3430e+00 -4.9719e+00 +3.4709e+00 -4.3135e+00 -1.9275e+00 -1.1020e+00 +3.6297e+00 +8.9590e-01 -1.4689e+00 -1.2969e+00 -6.7417e-01 -1.8829e+00 -1.2090e+00 -1.7214e+00 +3.1789e+00 +6.5442e-01 +5.7747e-01 -2.4023e+00 +3.1448e+00 -5.5619e-01
3 +2.387181568e+02 +2.387181568e+02 +8.667815678e+01 +8.667815678e+01 +2.2261e+00 -2.9628e+00 -9.0119e-01 +2.7633e+00 -4.5732e+00 +3.3842e+00 +4.6439e+00 +1.0509e+00 +3.1362e+00 +2.2847e+00 +3.8119e+00 -3.9820e+00 -2.0577e-01 +4.2351e-02 -1.7809e-02 +1.0660e+00 +2.7312e-01 -2.3504e+00 -1.0043e+00 -2.6880e+00
51 +1.475260684e+02 +1.475260684e+02 -4.513931552e+00 -4.513931552e+00 +6.1158e-01 +4.8183e+00 -4.6013e+00 +4.2713e+00 +2.8070e+00 -2.0111e+00 +2.4824e+00 -2.7474e+00 +2.7934e+00 +3.4239e+00 -4.3129e+00 -2.1566e+00 -4.0331e+00 +1.8228e+00 -1.5760e+00 -4.8066e+00 +4.3528e+00 +4.8567e-02 +3.9466e+00 -1.6473e+00
635 +8.521528645e+01 +8.521528645e+01 -6.682471355e+01 -6.682471355e+01 +1.5740e-01 -3.6364e+00 -2.9929e+00 +2.8008e-01 +2.3117e+00 -1.9857e+00 -3.9488e+00 +3.7682e-01 +2.0638e+00 +4.4870e+00 -3.6190e+00 +1.2536e-01 -1.6724e+00 +4.5765e+00 +3.2230e-01 +3.6102e+00 +2.8885e-01 -7.3325e-01 +9.3235e-01 +3.1405e+00
1033 +6.199204166e+01 +6.199204166e+01 -9.004795834e+01 -9.004795834e+01 +3.3950e+00 +2.0481e-01 -3.4882e+00 +4.3935e+00 +2.3117e+00 -1.9857e+00 -3.0794e+00 -9.4682e-01 +1.6213e+00 +2.4745e-01 +9.2203e-01 -8.4500e-01 -2.9705e+00 +1.7670e+00 -2.7532e-01 +1.0437e+00 +2.1386e+00 +2.6891e+00 -3.1658e+00 +4.2395e+00
1986 +3.391622612e+01 +3.391622612e+01 -1.181237739e+02 -1.181237739e+02 -6.9213e-01 +6.8918e-01 -3.4882e+00 +4.3935e+00 +2.2961e+00 -9.8768e-01 -5.5356e-01 -1.0037e+00 -2.0850e+00 +2.8033e+00 +3.2710e-01 -3.0759e+00 -2.8642e+00 +2.9558e+00 +1.6153e+00 +3.6929e+00 +3.6039e+00 +9.2706e-01 +6.7365e-02 +2.3220e+00
2605 +2.295348811e+01 +2.295348811e+01 -1.290865119e+02 -1.290865119e+02 +1.1164e-01 +3.0111e+00 -4.7313e+00 +3.3470e+00 +2.3117e+00 -1.9857e+00 -3.0794e+00 -9.4682e-01 +1.6213e+00 +3.8128e+00 -1.2645e+00 -2.6107e+00 -2.6781e+00 +4.6174e+00 +1.6886e+00 +2.7200e-01 +6.3381e-01 -9.1624e-01 +6.7365e-02 +2.8361e+00
3214 +1.502295795e+01 +1.502295795e+01 -1.370170421e+02 -1.370170421e+02 -6.9213e-01 +7.0481e-01 -3.4882e+00 +4.3935e+00 +2.2966e+00 -9.8768e-01 -5.5356e-01 -1.0037e+00 -8.5042e-02 +2.8033e+00 +3.2661e-01 -3.0758e+00 -2.8642e+00 +2.9539e+00 +1.6886e+00 +1.0437e+00 +3.6040e+00 +8.9581e-01 -6.0270e-01 +4.2395e+00
3690 +9.410675412e+00 +9.410675412e+00 -1.426293246e+02 -1.426293246e+02 +1.1164e-01 +1.3322e+00 -2.3023e+00 +3.5596e+00 +2.3117e+00 -8.6268e-01 -5.5454e-01 -9.4682e-01 +2.0846e+00 +3.8128e+00 -1.2645e+00 -2.6107e+00 -2.5531e+00 +4.6018e+00 -2.7532e-01 +1.2937e+00 +2.1386e+00 -5.6516e-02 -1.1950e+00 +2.8361e+00
4255 +6.136865592e+00 +6.136865592e+00 -1.459031344e+02 -1.459031344e+02 -6.9213e-01 +7.0481e-01 -3.4882e+00 +3.5596e+00 +2.3120e+00 -9.5442e-01 -4.0919e-01 -9.4682e-01 +1.6213e+00 +3.8128e+00 -1.2645e+00 -2.6107e+00 -3.5523e+00 +3.5200e+00 +6.8859e-01 -2.5637e-01 +2.6341e+00 +7.7056e-01 -6.0465e-01 +4.2395e+00
4838 +3.931199935e+00 +3.931199935e+00 -1.481088001e+02 -1.481088001e+02 +6.1165e-01 +7.0481e-01 -3.4863e+00 +3.5596e+00 +2.3120e+00 -4.8768e-01 -5.5358e-01 -1.0037e+00 +1.6213e+00 +3.8128e+00 -1.2645e+00 -2.6107e+00 -3.5523e+00 +3.5200e+00 -2.7532e-01 +1.0437e+00 +2.1386e+00 -5.6516e-02 -9.8855e-01 +3.3851e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.508979450e+02 +1.508979450e+02 +1.256479450e+02 +1.256479450e+02 +3.5211e+00 +4.6596e+00 -4.9554e+00 +3.4650e-01 +1.5828e+00 -3.2138e+00 -4.3508e+00 +2.8611e-01 +4.1989e+00 -3.1777e+00 +1.3303e+00 -3.7508e+00 -4.7915e+00 +3.7572e+00 +1.7248e+00 +1.5572e-01 -4.4199e+00 -3.2065e+00 +4.1571e+00 -4.3399e+00
77 +9.728418017e+01 +9.728418017e+01 +7.203418017e+01 +7.203418017e+01 +1.1706e+00 +3.1329e-01 -3.1571e+00 -2.9367e+00 +4.8600e-01 +4.7163e+00 -1.4061e+00 -2.2344e-01 +1.4035e+00 -2.9799e+00 -1.4221e+00 +1.4750e+00 -2.3991e+00 +3.3945e+00 -2.0669e+00 +1.9069e+00 -1.8146e-01 -1.3453e+00 +1.6977e+00 +6.8268e-01
847 +5.592332111e+01 +5.592332111e+01 +3.067332111e+01 +3.067332111e+01 +3.3915e+00 +9.0848e-01 -1.8804e+00 -3.3064e+00 +4.4852e-01 -2.1880e+00 -2.4397e+00 -3.7478e+00 +2.6779e+00 -3.4667e+00 +2.9521e+00 +1.5069e+00 -1.2750e+00 -1.5469e+00 +1.0846e+00 -2.1839e+00 +2.8210e+00 -4.3740e-01 +2.4793e+00 -3.7616e+00
