% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.125994258e+07 +7.125994258e+07 +7.125988764e+07 +7.125988764e+07 +2.4554e+00 +3.5305e+00 +1.2167e+00 -4.0829e+00 -3.7695e+00 -8.2640e-01 -4.8455e+00 +4.6676e+00 +4.0352e+00 -4.5073e+00 -4.2866e+00 -2.0676e+00 -3.9255e+00 -1.1686e+00 -1.1533e+00 -2.6871e+00 -2.8199e+00 -4.3061e+00 -5.6285e-01 +1.4957e+00
2 +1.264307734e+07 +1.264307734e+07 +1.264302240e+07 +1.264302240e+07 +8.2437e-02 -1.1064e-01 -1.4972e-02 +3.5945e+00 +2.0821e+00 -4.8505e+00 -9.5390e-01 +2.2167e+00 +4.3380e-01 -1.6128e-01 -1.5471e+00 +2.5119e+00 -4.3609e+00 -1.0279e+00 +1.8807e+00 -3.0379e+00 +3.7028e-01 +3.0797e+00 -4.9021e+00 +3.2706e+00
19 +3.917078605e+06 +3.917078605e+06 +3.917023665e+06 +3.917023665e+06 -4.6723e+00 +1.9468e+00 +4.6455e+00 +4.9608e+00 +4.4232e+00 +2.2548e+00 +2.2175e+00 -7.4513e-01 -2.6321e+00 -7.3034e-02 -2.9683e+00 +1.3772e+00 +9.6984e-01 -3.7718e+00 +4.4294e+00 +2.3835e+00 +1.8600e+00 -2.6773e+00 -2.8829e+00 -7.2259e-01
57 +2.099095310e+06 +2.099095310e+06 +2.099040370e+06 +2.099040370e+06 +6.8166e-01 +1.2885e+00 -9.1865e-01 +4.2889e+00 +1.1079e+00 -1.4148e+00 -2.4225e-01 +8.7337e-01 -4.8118e+00 +2.5177e+00 -4.1253e+00 -4.7250e+00 -2.2626e+00 -3.9935e+00 +1.9667e+00 +3.7236e+00 +1.0285e+00 -3.4700e+00 -2.2122e+00 -9.8141e-01
363 +1.018451780e+06 +1.018451780e+06 +1.018396840e+06 +1.018396840e+06 -2.5295e+00 -1.7846e+00 -3.2266e+00 +4.4714e-01 +4.9908e-01 +1.8746e+00 -5.0463e-01 -6.0190e-01 +9.1217e-01 -2.9148e-01 +3.5082e+00 -2.2410e+00 -2.9010e+00 -3.0597e+00 -3.1376e+00 -3.9516e+00 +4.2394e+00 +1.7191e+00 -2.3879e+00 +4.6264e+00
1008 +9.829731614e+05 +9.829731614e+05 +9.829182214e+05 +9.829182214e+05 -2.5275e+00 -1.7846e+00 -3.2266e+00 +4.4714e-01 +4.3658e-01 +1.8746e+00 -5.0463e-01 -6.1753e-01 +9.1217e-01 -2.9148e-01 +3.5082e+00 -2.2410e+00 -2.9010e+00 -3.0597e+00 -3.1376e+00 -3.9516e+00 +4.2395e+00 +1.7191e+00 -2.3879e+00 +4.6264e+00
1128 +5.436851815e+05 +5.436851815e+05 +5.436302415e+05 +5.436302415e+05 +5.1087e-01 -2.5413e+00 -1.5790e+00 -7.1077e-02 +3.9008e+00 -2.3391e+00 +7.6542e-01 +2.4922e+00 -1.6110e+00 +3.3700e+00 -1.3566e+00 +3.5945e+00 -2.2626e+00 -1.7885e+00 -2.3718e+00 +2.2045e+00 +1.9537e+00 +1.7920e+00 -7.4020e-01 +2.0626e+00
2155 +3.931797125e+05 +3.931797125e+05 +3.931247725e+05 +3.931247725e+05 +1.5109e+00 -2.5413e+00 -3.2266e+00 -7.1077e-02 +3.9008e+00 -2.3391e+00 +7.6542e-01 +2.4922e+00 -1.6110e+00 +3.3700e+00 -1.3566e+00 +3.5945e+00 -2.2626e+00 -1.7885e+00 -2.3718e+00 +2.2045e+00 +1.9537e+00 +1.9184e+00 -1.7770e-01 +2.0626e+00
3207 +2.503555614e+05 +2.503555614e+05 +2.503006214e+05 +2.503006214e+05 +5.1090e-01 -2.5413e+00 -2.5960e+00 +7.6839e-01 +5.8906e-01 -1.0352e+00 +7.5760e-01 +2.2422e+00 -1.6129e+00 +3.3700e+00 -1.3566e+00 +1.5945e+00 -2.2626e+00 -1.7885e+00 -2.3718e+00 +2.2045e+00 +1.9537e+00 +1.9184e+00 -1.7770e-01 +2.0626e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
