% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.584723717e+06 +3.584723717e+06 +3.584799987e+06 +3.584799987e+06 -9.2203e-01 -5.3873e-01 -7.0179e-01 -1.0492e+00 +1.7179e+00 +5.1929e-01 -1.3347e-01 -3.9953e+00 +4.3623e+00 -3.7678e-01 +5.2742e-01 -9.1606e-01 +4.2415e+00 +1.8287e+00 -2.9587e+00 -4.9071e+00 -3.2694e+00 +4.3522e+00 +8.4161e-01 -3.6109e+00
2 +7.307977683e+04 +7.307977683e+04 +7.315604683e+04 +7.315604683e+04 +1.3260e+00 -3.0450e+00 -3.5232e+00 -3.1161e+00 +3.5405e-01 +7.5888e-02 +4.7356e-01 +2.2829e+00 -1.8982e+00 +2.7602e+00 -3.5611e+00 -2.7720e+00 +9.7625e-01 +6.5491e-01 -2.5061e-01 +2.7410e+00 -1.3248e+00 +3.5155e+00 +8.3507e-01 -1.4988e+00
18 +4.775562914e+04 +4.775562914e+04 +4.783189914e+04 +4.783189914e+04 -1.6318e+00 -9.9051e-01 +1.7562e+00 -3.0531e+00 -2.7266e+00 -2.1187e+00 +4.9880e+00 +3.1966e-01 +1.5454e+00 -1.9842e+00 +2.3735e+00 +1.4500e+00 -2.1727e+00 +3.5620e+00 -1.6720e+00 +3.8405e+00 +2.8010e+00 +4.3108e+00 -4.6709e+00 +1.0811e+00
56 +2.243353578e+03 +2.243353578e+03 +2.319623578e+03 +2.319623578e+03 +4.4849e+00 -2.9929e+00 -5.0000e+00 +2.3786e+00 -4.1924e-01 -1.8439e+00 +5.0000e+00 -3.0025e+00 -5.0000e+00 -5.0207e-01 -2.8067e-01 -2.5053e+00 -5.0000e+00 -5.0872e-01 -4.3287e-01 -3.3681e+00 +1.7852e-01 +8.0723e-01 +3.3949e+00 +3.9082e+00
116 +3.011747591e+02 +3.011747591e+02 +3.774447591e+02 +3.774447591e+02 -1.8071e-01 -2.9841e+00 -5.0000e+00 +2.0214e+00 -4.6681e+00 -2.3596e+00 +4.3853e+00 -5.0000e+00 -1.4195e+00 -2.1384e+00 +1.3480e+00 -3.0905e+00 +9.5522e-01 -2.6308e+00 +5.0000e+00 -5.0000e+00 -2.4264e+00 -2.4515e+00 -2.7386e+00 +5.0000e+00
1094 +1.962149954e+02 +1.962149954e+02 +2.724849954e+02 +2.724849954e+02 -2.7506e+00 -3.0066e+00 -4.3346e+00 +2.5420e+00 -2.1204e+00 -1.1551e+00 +4.2615e+00 -5.0000e+00 -1.0835e-01 -2.3535e+00 +3.0280e+00 -3.5315e+00 +5.6557e-01 -8.4788e-01 -4.4783e-01 -5.0000e+00 -5.0000e+00 -1.3565e+00 -1.0408e+00 -1.6550e+00
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.683719700e+07 +2.683719700e+07 +2.683717445e+07 +2.683717445e+07 +2.6620e+00 +1.8808e+00 +7.9802e-01 -2.8299e+00 +2.7243e+00 -2.0253e+00 -2.1447e-01 +2.7743e+00 -7.3876e-02 -2.5333e+00 -1.9556e-01 +3.1003e+00 +5.8080e-01 -1.5533e+00 +1.0663e+00 -4.6232e+00 +3.1271e+00 +2.6981e+00 -3.4188e+00 -4.0346e+00
2 +4.837578067e+05 +4.837578067e+05 +4.837352567e+05 +4.837352567e+05 -4.0746e+00 -2.6025e+00 +1.2510e+00 +1.6884e+00 +3.0243e+00 +2.8330e+00 +3.0787e+00 -4.6399e-01 -4.0220e-01 +4.5826e+00 +2.0272e+00 -3.7170e+00 +4.5124e+00 -4.3045e+00 -3.2100e+00 +1.6660e+00 +1.5440e+00 +3.1291e+00 +1.4486e+00 -3.5807e+00
7 +1.540646242e+04 +1.540646242e+04 +1.538391242e+04 +1.538391242e+04 +4.7388e-01 +2.2103e+00 -4.2622e+00 -1.1840e+00 -1.7688e+00 +2.5269e+00 +4.6003e+00 +2.5521e+00 -2.6932e+00 +1.2305e+00 -1.4782e+00 -5.1293e-01 -1.8973e-01 +3.5695e+00 +3.1805e-01 +4.5105e+00 +2.1874e+00 -1.9986e+00 -2.7667e+00 -5.0958e-01
