% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.240181180e+03 +3.240181180e+03 +2.778091180e+03 +2.778091180e+03 -1.3804e-01 -2.6723e+00 -6.7342e-01 -4.6818e+00 +2.1802e+00 +3.9649e+00 -3.6990e+00 -2.2394e+00 +2.2440e+00 -3.8656e+00 -7.7433e-01 +1.6523e+00 -3.9566e-01 +1.6142e+00 +5.0791e-01 +2.3333e+00 +3.8177e+00 -4.8182e+00 -3.5264e+00 -4.5631e+00
6 +9.034677176e+02 +9.034677176e+02 +4.413777176e+02 +4.413777176e+02 +1.3357e-01 -4.0603e+00 +3.1527e+00 -1.9454e+00 +3.7237e+00 -4.4544e+00 +1.3206e-01 +1.5448e-01 -2.8907e+00 -3.1352e-01 +7.9419e-02 -4.5436e+00 +3.2019e+00 -3.1984e+00 -1.2772e+00 -4.3700e+00 -1.1687e+00 -3.7363e+00 -1.1298e+00 +1.0928e+00
50 +5.010475148e+02 +5.010475148e+02 +3.895751478e+01 +3.895751478e+01 -1.9078e+00 -1.9360e+00 +2.4566e-01 +7.6262e-01 +2.1722e-01 -3.8962e+00 +3.4424e+00 +4.0789e+00 +2.0584e+00 +2.1213e+00 +1.0065e+00 -1.9159e+00 +1.0952e-01 -1.8272e+00 -5.8661e-01 -5.0000e+00 +5.9021e-01 +5.0000e+00 -3.0712e+00 +3.2254e+00
222 +3.855747885e+02 +3.855747885e+02 -7.651521150e+01 -7.651521150e+01 -1.9151e+00 +5.0000e+00 +2.9113e+00 +0.0000e+00 +6.4559e-01 +5.0000e+00 +1.3776e+00 +1.8728e+00 -3.5494e+00 -2.9892e+00 -6.3797e-02 -5.0000e+00 +2.0718e+00 -2.6198e+00 -1.7525e+00 -3.9958e+00 -3.1012e-01 +4.1090e+00 -2.8264e+00 +1.9182e+00
1123 +2.301464309e+02 +2.301464309e+02 -2.319435691e+02 -2.319435691e+02 -1.7412e+00 +5.0000e+00 +5.0000e+00 +7.6285e-01 -2.3523e-01 +1.4557e+00 +3.1194e+00 +1.9588e+00 -8.3559e-01 +8.4168e-01 -2.5000e+00 -3.3800e+00 -1.1224e+00 -2.3917e+00 -1.6591e+00 -3.0426e+00 -2.7703e-01 +3.3876e+00 -1.5997e+00 +1.0259e+00
2573 +1.479072364e+02 +1.479072364e+02 -3.141827636e+02 -3.141827636e+02 -3.3258e+00 +5.0000e+00 +5.0000e+00 -4.6880e-02 +2.1618e-01 +2.9050e+00 +3.7136e+00 +1.8661e+00 +1.7673e+00 -1.5475e+00 -2.7055e+00 -3.8749e+00 -6.4834e-01 -2.8254e+00 -1.2657e+00 -3.8124e+00 -3.4260e-02 +2.1535e+00 -2.4287e+00 +1.0613e+00
3627 +9.339333381e+01 +9.339333381e+01 -3.686966662e+02 -3.686966662e+02 -3.2997e+00 +5.0000e+00 +5.0000e+00 +1.4568e+00 -2.2867e-01 +2.9351e+00 +3.9320e+00 +1.8351e+00 +1.2162e+00 -4.8309e-01 -2.8008e+00 -3.8579e+00 -5.8411e-01 -3.4259e+00 -8.9843e-01 -3.9453e+00 +0.0000e+00 +2.5681e+00 -2.3963e+00 +1.1351e+00
4496 +6.126376235e+01 +6.126376235e+01 -4.008262377e+02 -4.008262377e+02 -3.2681e+00 +5.0000e+00 +4.6464e+00 +1.5344e+00 -8.2304e-02 +2.8641e+00 +3.1649e+00 +1.8869e+00 +1.1442e+00 -5.8560e-01 -2.7595e+00 -3.8163e+00 -6.2828e-01 -3.4523e+00 -9.4296e-01 -3.9315e+00 +0.0000e+00 +2.6108e+00 -2.4581e+00 +1.1053e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.512674120e+03 +1.512674120e+03 +1.590334120e+03 +1.590334120e+03 +2.4463e+00 -1.9500e+00 +3.8741e+00 +8.5784e-01 +4.5689e+00 -3.9669e-01 +2.5151e-01 -2.0052e+00 -3.8522e+00 -1.9618e+00 +7.7878e-01 -3.0840e+00 -4.7637e-01 -1.6301e+00 +9.4421e-01 -2.8119e+00 -1.4975e+00 +2.2329e+00 +4.1102e+00 -4.5475e+00
3 +7.760800668e+02 +7.760800668e+02 +8.537400668e+02 +8.537400668e+02 +2.1439e+00 +2.6966e+00 +2.6039e+00 -9.1338e-01 -2.2426e+00 -1.3115e+00 -8.1141e-01 +3.9450e+00 +3.6780e-02 -2.5164e+00 +1.7534e+00 -3.0140e-01 -3.9033e+00 -2.6868e+00 -1.2222e+00 -6.6800e-01 +2.1221e+00 +3.2553e-01 +5.5230e-01 -1.2944e+00
54 +5.420813024e+02 +5.420813024e+02 +6.197413024e+02 +6.197413024e+02 -5.0000e+00 -3.5479e-01 +1.6247e+00 -6.9382e-01 -5.0000e+00 -2.4464e+00 -2.6673e+00 +7.6418e-01 -8.7675e-01 -1.2344e+00 +2.2969e+00 +2.1173e+00 -2.6468e+00 -1.8920e+00 -1.8213e+00 +2.3224e+00 -2.0216e+00 -4.5002e+00 -1.3164e-01 -2.7293e+00
240 +3.750402743e+02 +3.750402743e+02 +4.527002743e+02 +4.527002743e+02 +4.3001e+00 +0.0000e+00 -2.1733e-01 -2.5908e+00 -4.5765e+00 -1.9458e+00 +2.9480e+00 -4.0576e+00 +5.8321e-01 -2.1828e+00 +2.4006e+00 -1.5874e+00 -2.1585e+00 -2.0273e+00 -3.6799e+00 +1.6301e+00 -2.9308e-01 -1.3442e+00 +2.0443e+00 -5.0000e+00
1239 +2.248972924e+02 +2.248972924e+02 +3.025572924e+02 +3.025572924e+02 +2.4159e+00 +9.9269e-01 -5.1227e-01 +8.7079e-01 -4.6941e+00 -1.0655e+00 +1.0609e-01 +9.9197e-01 +3.9524e-01 -2.5133e+00 +1.3356e+00 -7.8747e-01 +3.2048e-01 -2.0649e+00 -5.0000e+00 +1.4604e+00 -5.9402e-01 -2.2472e+00 +3.0165e+00 -3.0659e+00
2413 +1.490220974e+02 +1.490220974e+02 +2.266820974e+02 +2.266820974e+02 +3.2081e+00 -2.6856e+00 -1.3280e+00 +2.3796e+00 -4.7922e+00 -2.3632e+00 +0.0000e+00 +8.5053e-01 -9.6348e-01 -5.0000e+00 +2.3552e+00 +7.6832e-02 +6.8640e-01 -1.6161e+00 -5.0000e+00 +1.8677e+00 -2.8234e-01 -2.8080e+00 +2.8280e+00 -2.5000e+00
3616 +9.872295968e+01 +9.872295968e+01 +1.763829597e+02 +1.763829597e+02 +3.4525e+00 -2.5012e+00 -1.2623e+00 +4.0796e+00 -4.7161e+00 -1.2750e+00 +0.0000e+00 +8.6359e-01 +1.8782e-01 -5.0000e+00 +2.3669e+00 +1.2542e-01 +3.2702e-01 -1.6564e+00 -5.0000e+00 +9.8097e-01 +7.5676e-02 -2.7367e+00 +2.8182e+00 -2.5000e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.652084347e+03 +2.652084347e+03 +2.767764347e+03 +2.767764347e+03 -3.7185e+00 +1.7715e+00 -3.7464e+00 +2.0070e+00 -1.3841e+00 +9.1479e-01 -9.1756e-01 -8.0938e-01 +8.7407e-01 +2.6144e+00 -4.3467e+00 -3.6722e+00 -3.2738e+00 -1.7235e+00 +4.7543e+00 +6.1590e-01 +3.0624e+00 +2.5086e+00 -3.3711e+00 -3.0376e+00
2 +2.341681495e+03 +2.341681495e+03 +2.457361495e+03 +2.457361495e+03 +2.2504e+00 +3.5643e+00 +1.7453e+00 +4.2893e+00 -3.9493e+00 -4.3734e+00 +2.2266e+00 +3.0351e+00 -7.0706e-01 +3.0333e+00 +2.2103e+00 -3.6752e+00 -3.5084e+00 +4.9077e-01 +4.9871e+00 -2.6444e+00 +2.4001e+00 +1.5617e+00 +2.2935e+00 -4.2721e+00
5 +1.495127321e+03 +1.495127321e+03 +1.610807321e+03 +1.610807321e+03 +4.6715e+00 +4.2354e+00 -2.4722e+00 -2.8717e+00 -4.7378e+00 +1.4435e+00 -2.3017e+00 -3.4241e+00 -4.4554e+00 +1.8418e+00 -1.3515e+00 +2.3284e+00 +8.1967e-01 -4.4874e+00 +6.5607e-01 +8.5325e-01 +2.3186e+00 +1.8856e+00 -9.8976e-01 +7.5615e-01
73 +8.531028272e+02 +8.531028272e+02 +9.687828272e+02 +9.687828272e+02 -4.3969e+00 -2.9045e+00 -1.4965e+00 -2.0673e+00 -1.7873e+00 -1.7530e+00 -3.9387e+00 +1.4228e+00 -8.4471e-01 -2.1030e+00 +7.3969e-01 -1.1187e+00 -2.5299e+00 -8.2183e-01 -5.0000e+00 +2.6051e+00 +1.1679e+00 +1.0581e+00 -1.7663e+00 -3.5184e+00
127 +5.919229989e+02 +5.919229989e+02 +7.076029989e+02 +7.076029989e+02 +0.0000e+00 -1.6970e+00 -2.5871e+00 -4.8252e+00 -1.5312e+00 -2.0217e+00 -3.0897e+00 +2.2897e+00 -2.4441e+00 +1.0482e+00 +1.4224e+00 +8.8786e-01 +0.0000e+00 -1.2412e+00 -6.3393e-01 -7.1861e-01 +1.2085e+00 +3.7530e+00 +1.9898e+00 +0.0000e+00
412 +3.626858097e+02 +3.626858097e+02 +4.783658097e+02 +4.783658097e+02 -3.5456e+00 -3.4485e+00 +0.0000e+00 -1.5272e+00 -3.6975e+00 -6.7318e-01 -4.0260e+00 +1.3369e+00 -3.6931e+00 -8.2468e-01 +3.9926e+00 -6.8226e-01 -3.2681e+00 +2.1222e+00 -1.0864e+00 -1.7321e+00 +1.0894e+00 +5.0000e+00 +2.7228e+00 +5.0902e-01
1051 +2.313189138e+02 +2.313189138e+02 +3.469989138e+02 +3.469989138e+02 -4.3262e+00 -1.9159e+00 +1.5825e-02 +2.3032e+00 -2.2902e+00 -2.5155e+00 -2.4109e+00 +2.1398e+00 -1.7453e+00 -1.9881e+00 +3.5664e+00 -4.9099e+00 -4.9395e+00 +6.4139e-01 -8.4275e-01 -4.3295e-02 +1.0096e-01 +4.3076e+00 +2.7986e+00 -5.4108e-01
2199 +1.537475628e+02 +1.537475628e+02 +2.694275628e+02 +2.694275628e+02 -2.3615e+00 -8.6285e-01 -6.6356e-01 +1.6364e+00 -2.7568e+00 -1.8115e+00 -3.6790e+00 +1.7164e+00 -7.7390e-01 -2.5861e+00 +3.8401e+00 -2.2529e+00 -4.3268e+00 +2.9729e-01 -5.6633e-01 -4.1851e-01 -6.6740e-01 +4.9065e+00 +3.4115e+00 -9.0673e-01
3319 +9.993441139e+01 +9.993441139e+01 +2.156144114e+02 +2.156144114e+02 -2.4353e+00 -9.7396e-01 -6.7386e-01 +3.0820e+00 -2.7075e+00 -1.8002e+00 -3.5643e+00 +1.7420e+00 -7.6632e-01 -2.5865e+00 +3.8299e+00 -2.2940e+00 -4.3447e+00 +2.3545e-01 -4.0921e-01 -3.9078e-01 -8.0848e-01 +4.8845e+00 +3.4187e+00 -8.8387e-01
4067 +6.106145324e+01 +6.106145324e+01 +1.767414532e+02 +1.767414532e+02 -2.2440e+00 -9.6476e-01 -6.3555e-01 +3.0135e+00 -2.7404e+00 -1.8123e+00 -3.5620e+00 +1.6925e+00 -2.0868e+00 -2.5884e+00 +3.8187e+00 -2.3102e+00 -4.3326e+00 +3.0035e-01 -3.7785e-01 -3.8149e-01 -8.1339e-01 +4.8909e+00 +3.4413e+00 -9.0790e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.273008636e+02 +7.273008636e+02 +7.235908636e+02 +7.235908636e+02 -4.2031e+00 +9.8603e-01 -7.3661e-01 +1.2755e+00 +4.8684e+00 +1.1467e+00 -2.1062e+00 -2.7854e+00 +2.7645e+00 -2.8163e+00 +4.4377e+00 +4.3842e+00 +3.9671e+00 -1.8879e+00 -3.3359e+00 -8.0404e-01 +3.1386e+00 +2.4212e+00 +4.3771e-01 -2.1011e+00
67 +5.812176785e+02 +5.812176785e+02 +5.775076785e+02 +5.775076785e+02 -5.0000e+00 +5.2633e-01 +1.9780e+00 +3.6211e+00 +2.5211e+00 +3.6003e-01 +2.6708e-01 -3.7654e+00 -3.3740e-02 +1.1432e-01 +2.6653e+00 +4.6065e+00 +8.1209e-01 -1.4530e+00 -1.2624e+00 -2.8120e+00 +2.3214e+00 +1.3644e-01 +3.2154e+00 -3.3278e-01
453 +3.650580936e+02 +3.650580936e+02 +3.613480936e+02 +3.613480936e+02 -5.0000e+00 +8.0239e-01 +4.8920e+00 +4.3858e+00 +2.4235e+00 +3.4259e+00 +1.4443e+00 -4.0783e+00 -3.1804e+00 -8.1639e-01 +5.0000e+00 +1.4626e+00 +2.3460e+00 -5.0000e+00 +5.6603e-01 -4.0194e+00 +5.6174e-01 +7.4833e-01 +3.8940e+00 -2.6174e+00
1566 +2.275364621e+02 +2.275364621e+02 +2.238264621e+02 +2.238264621e+02 -4.9998e+00 -3.1398e+00 +3.7164e+00 +4.8159e+00 +2.4714e+00 +3.6107e+00 +1.0549e-01 -2.1173e+00 -7.5004e-01 -1.1096e+00 +3.1145e+00 +1.4451e+00 +4.9836e+00 -9.1127e-01 +1.3955e+00 -3.3067e+00 +1.5043e+00 +1.0451e+00 +3.8461e+00 -2.9079e+00
3138 +1.468511040e+02 +1.468511040e+02 +1.431411040e+02 +1.431411040e+02 -4.1011e+00 -1.3629e+00 +3.3109e+00 +4.7662e+00 +2.3822e+00 +5.0000e+00 -5.6841e-01 -1.9766e+00 -1.5523e+00 +1.4923e-01 +3.7483e+00 +1.0460e+00 +4.8288e+00 -1.2972e+00 +5.1358e-01 -2.6370e+00 +1.1211e+00 +1.9339e+00 +2.8263e+00 -2.7552e+00
4311 +9.548910337e+01 +9.548910337e+01 +9.177910337e+01 +9.177910337e+01 -4.2508e+00 -3.3450e+00 +3.6051e+00 +4.8068e+00 +2.3593e+00 +5.0000e+00 -6.0380e-01 -1.9881e+00 -1.7484e+00 +1.1627e-01 +3.7415e+00 +1.0541e+00 +4.8663e+00 -1.2779e+00 +5.1332e-01 -2.8987e+00 +1.1345e+00 +1.9406e+00 +3.5948e+00 -3.2478e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.458111414e+03 +1.458111414e+03 +1.590291414e+03 +1.590291414e+03 -4.2864e+00 -2.8243e+00 +3.1096e+00 -4.4277e+00 -3.9986e+00 -9.3861e-02 +3.0351e+00 -3.5903e-01 +3.4729e+00 -4.7628e+00 +2.1560e+00 -4.7352e+00 +2.2220e+00 +6.6499e-01 -2.3033e+00 -1.3651e-01 +1.9843e+00 -2.5257e+00 +2.3251e+00 +2.9177e+00
3 +9.099273237e+02 +9.099273237e+02 +1.042107324e+03 +1.042107324e+03 +2.0530e+00 +3.1531e+00 -3.3998e+00 +4.6427e+00 -9.6570e-01 -2.7457e-01 +2.8765e+00 +3.1034e+00 +4.2973e+00 -2.7319e+00 +1.1096e+00 +2.7047e+00 +7.1457e-01 +4.5377e+00 -3.6800e+00 +1.2215e+00 -2.8447e+00 +4.7092e+00 -1.1815e+00 +3.5855e+00
92 +5.828708171e+02 +5.828708171e+02 +7.150508171e+02 +7.150508171e+02 -2.6543e+00 +3.5534e+00 +3.9166e+00 +5.0995e-01 -5.0000e+00 -1.6210e+00 -4.4930e+00 -3.0252e+00 +1.5604e+00 +0.0000e+00 -5.0000e+00 +0.0000e+00 +2.2911e+00 +5.0000e+00 -4.0759e+00 -2.0205e-01 -1.3957e+00 +5.0000e+00 -2.1339e+00 +1.4643e+00
104 +3.746223557e+02 +3.746223557e+02 +5.068023557e+02 +5.068023557e+02 -3.4388e+00 +1.3928e+00 +1.8026e+00 -6.8235e-01 +1.1144e-01 -1.4206e+00 -3.9814e+00 -1.0927e+00 +5.6124e-01 +0.0000e+00 -1.9136e+00 +5.0000e+00 -1.3858e-01 +4.9348e+00 -3.0218e+00 +1.2031e+00 +6.9300e-01 +5.0000e+00 -6.6747e-01 +1.9109e+00
1285 +2.432173802e+02 +2.432173802e+02 +3.753973802e+02 +3.753973802e+02 -7.5899e-01 +2.4864e+00 +1.6821e+00 -3.4272e+00 -1.8654e+00 -8.5950e-01 -1.5406e+00 -5.0863e-01 +2.0562e+00 -2.5704e+00 +9.3888e-01 +6.8691e-01 -2.8756e-01 +4.9764e+00 -4.8938e+00 +2.6868e+00 +1.6403e+00 +3.5578e+00 -1.0206e+00 -1.7679e-02
2459 +1.510440171e+02 +1.510440171e+02 +2.832240171e+02 +2.832240171e+02 -1.0963e+00 +4.6536e-01 +1.8924e+00 -3.0595e+00 -1.6469e+00 -3.8674e-01 -1.5118e+00 -1.1403e+00 +1.2871e-01 +1.1307e+00 +2.3082e-01 +2.0379e+00 -4.4921e-01 +4.8650e+00 -4.0288e+00 +1.9427e+00 +2.0829e+00 +2.7275e+00 -1.0678e+00 +1.6751e-01
3724 +9.737676866e+01 +9.737676866e+01 +2.295567687e+02 +2.295567687e+02 -8.4328e-01 +2.4023e+00 +1.9208e+00 -2.8788e+00 -1.6083e+00 -4.2114e-01 -1.5113e+00 -1.1383e+00 +1.5297e+00 +1.0460e+00 +2.4337e-01 +2.4878e+00 -4.8711e-01 +4.8521e+00 -4.0281e+00 +1.8734e+00 +2.0772e+00 +2.7460e+00 -9.8963e-01 +4.4727e-01
% function evaluation | noise-free fitness - Fopt (-5.847300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.257893930e+03 +2.257893930e+03 +1.673163930e+03 +1.673163930e+03 -1.9228e+00 +1.0491e+00 -3.5061e+00 +5.5116e-01 -2.5162e+00 -4.1365e+00 -3.1272e+00 -1.6610e+00 -2.1182e+00 +4.8632e+00 +2.8789e+00 -5.5260e-01 +3.4971e+00 +3.1274e+00 -4.7861e+00 +3.4391e+00 -1.0582e+00 +4.7289e+00 +3.7479e+00 -2.7821e+00
6 +1.406617390e+03 +1.406617390e+03 +8.218873902e+02 +8.218873902e+02 +2.8687e-01 -2.0703e+00 -3.6563e+00 +3.6137e+00 -3.1044e+00 -2.5666e+00 +2.9349e+00 +2.4703e+00 +2.6914e+00 +8.4342e-01 +1.5410e+00 -4.5329e+00 +2.0195e+00 +3.5098e+00 +4.9268e+00 +4.8489e+00 -2.0593e-01 +3.4568e+00 -4.1137e+00 -4.9860e+00
12 +8.668068397e+02 +8.668068397e+02 +2.820768397e+02 +2.820768397e+02 -1.3151e+00 -4.3881e+00 +2.6983e-01 +1.6429e+00 +2.7285e+00 +2.2499e+00 -2.0150e+00 -3.6264e-01 -2.3692e+00 -3.6345e+00 +2.7054e+00 +1.9613e+00 -2.1787e+00 +4.1252e+00 +2.3816e+00 +3.2653e+00 -2.0090e+00 +2.6549e+00 -3.8317e+00 -2.2415e+00
84 +5.361183381e+02 +5.361183381e+02 -4.861166192e+01 -4.861166192e+01 -5.6409e-01 -1.8840e+00 -4.8782e+00 +3.8069e+00 +4.5887e-01 -1.4328e+00 +2.9612e+00 +1.1617e+00 +1.1079e+00 -4.2332e-01 +1.4950e+00 -3.0061e+00 +1.8343e+00 +3.2352e+00 +1.5744e+00 -9.8374e-01 -2.5165e+00 +5.0000e+00 -1.9863e-01 -1.5066e+00
408 +3.907788080e+02 +3.907788080e+02 -1.939511920e+02 -1.939511920e+02 +3.4682e+00 -6.1792e-01 -1.2068e+00 -3.8504e+00 -4.3802e+00 -4.1665e+00 +2.1088e+00 -4.1285e+00 -4.5776e-01 +0.0000e+00 +1.9427e+00 -1.1652e-01 -9.2798e-01 +3.6968e+00 +4.1334e+00 -9.3586e-02 -3.9906e+00 +4.4266e+00 -2.5073e+00 -1.2793e+00
1171 +2.392671653e+02 +2.392671653e+02 -3.454628347e+02 -3.454628347e+02 +1.5791e+00 -1.1940e+00 -1.8680e+00 -2.9269e+00 -3.0109e+00 -1.4395e+00 +1.1432e+00 -6.1664e-01 -4.0835e-01 +0.0000e+00 +4.0889e-01 -2.5135e-01 -1.9826e+00 +3.4828e+00 +4.4399e+00 -9.4278e-01 -4.0459e+00 +4.5582e+00 -2.7966e-01 -3.1984e+00
2219 +1.556139217e+02 +1.556139217e+02 -4.291160783e+02 -4.291160783e+02 +2.2045e+00 -1.4766e+00 -1.6447e+00 -3.6485e+00 -1.4645e+00 -1.8636e+00 +3.1771e+00 +1.0697e+00 -3.9335e-01 -5.0131e-01 -1.6175e-01 -8.4482e-01 +2.7073e-01 +3.9586e+00 +3.5101e+00 -5.4232e-01 -3.4124e+00 +3.3713e+00 +0.0000e+00 -3.5668e+00
3622 +9.952770124e+01 +9.952770124e+01 -4.852022988e+02 -4.852022988e+02 +2.2902e+00 -2.0351e+00 -1.6335e+00 -3.8407e+00 -1.5757e+00 -2.7655e+00 +3.1231e+00 +9.6592e-01 -3.0564e-01 -6.3351e-01 -2.5152e-01 -1.7381e-01 -1.5194e+00 +4.4353e+00 +3.6829e+00 -5.5858e-01 -3.3635e+00 +3.7309e+00 -2.6926e-01 -3.5188e+00
% function evaluation | noise-free fitness - Fopt (-3.654000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.946196656e+03 +1.946196656e+03 +1.909656656e+03 +1.909656656e+03 -1.8481e+00 +4.1659e+00 -3.7472e+00 -4.6161e+00 -2.4805e+00 +2.3302e+00 +4.9819e+00 +1.8469e-02 -3.2685e+00 -4.9555e+00 -4.9936e+00 +4.9684e+00 +2.7275e+00 +9.1072e-01 -1.6710e+00 -1.2895e+00 +4.1475e+00 +1.7306e+00 -4.7004e+00 +3.2696e+00
3 +1.242871883e+03 +1.242871883e+03 +1.206331883e+03 +1.206331883e+03 +3.0970e+00 -2.2782e+00 +3.0199e+00 -2.0512e+00 -1.0168e+00 +1.3943e+00 -3.1292e+00 +1.9617e+00 -2.6431e+00 -1.8284e+00 -1.7521e+00 +3.3460e-01 +2.8618e+00 +2.4253e+00 +3.8306e+00 -4.0973e+00 -4.6522e-01 -2.0498e+00 -4.1188e+00 -3.6175e+00
7 +7.931740179e+02 +7.931740179e+02 +7.566340179e+02 +7.566340179e+02 +4.3381e+00 +1.1152e+00 +1.1783e+00 -3.5353e+00 +4.6052e+00 -4.3499e+00 -4.0121e+00 +1.3993e+00 +2.8910e+00 +1.4307e+00 +1.3339e+00 -1.8163e+00 -4.2024e+00 -1.7186e+00 -3.2009e-01 +8.9829e-01 +8.2288e-01 +4.8641e-01 -2.7875e+00 +2.2277e+00
97 +4.406504283e+02 +4.406504283e+02 +4.041104283e+02 +4.041104283e+02 -1.1042e-01 -5.6372e-01 -2.7530e+00 +0.0000e+00 +9.7559e-01 -2.5256e+00 +1.1926e+00 +4.9552e-01 -2.0157e+00 -1.6799e+00 +0.0000e+00 -3.2466e+00 +2.3814e-01 -1.1646e+00 -6.6841e-01 -3.6671e-02 +3.7266e+00 +0.0000e+00 -4.7774e+00 +0.0000e+00
247 +3.849345168e+02 +3.849345168e+02 +3.483945168e+02 +3.483945168e+02 +6.0682e-01 -1.8990e+00 +7.8471e-01 -3.1636e+00 +2.3445e+00 -2.5601e+00 +1.0218e+00 -9.0011e-01 -7.8057e-01 -3.5152e+00 -8.6241e-01 -1.8913e+00 +3.4155e-01 -1.6145e+00 +0.0000e+00 -9.5061e-01 +3.6303e+00 -3.1836e+00 -4.7928e+00 -5.0423e-02
1359 +2.473407175e+02 +2.473407175e+02 +2.108007175e+02 +2.108007175e+02 -3.8260e-01 -5.0000e+00 -1.0654e+00 -1.3387e+00 -7.0493e-01 -2.2130e-01 -1.5992e+00 -1.1090e+00 -1.4836e+00 -2.3455e+00 +2.1135e+00 -6.1129e-01 -1.1234e+00 +9.6473e-01 -1.3272e+00 -2.9220e+00 +4.5997e+00 -1.9790e+00 -3.7319e+00 +2.6191e-01
2383 +1.499707134e+02 +1.499707134e+02 +1.134307134e+02 +1.134307134e+02 -1.7398e+00 -4.1841e+00 -3.5719e-01 -2.4206e-01 -6.4285e-01 -1.2757e+00 -2.1512e+00 +1.6337e-01 -1.0923e+00 -1.8429e+00 +1.2319e+00 -2.3446e+00 -1.3737e+00 +4.8864e-01 -7.4381e-01 -2.4008e+00 +4.8539e+00 -2.6005e+00 -3.0771e+00 +8.3695e-02
