>> exampleexperiment
  f1 in 2-D, instance 1: FEs=428 with 7.9480e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 2: FEs=392 with 3.9448e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 3: FEs=428 with -2.4711e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 4: FEs=452 with -1.5204e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 5: FEs=482 with -2.5250e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 6: FEs=428 with -2.0172e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 7: FEs=440 with -1.0000e+03 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 8: FEs=464 with -4.2900e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 9: FEs=524 with -1.0132e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 10: FEs=488 with 3.6500e+00 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 11: FEs=476 with 2.2053e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 12: FEs=488 with 4.2129e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 13: FEs=434 with -7.9000e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 14: FEs=464 with -4.1330e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 15: FEs=458 with 2.1275e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
      date and time: 2022    4   19    1    7    9
  f2 in 2-D, instance 1: FEs=1028 with -2.0988e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 2: FEs=902 with -9.2090e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 3: FEs=1010 with -8.7890e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 4: FEs=884 with 3.2019e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 5: FEs=974 with -1.0424e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 6: FEs=974 with -3.5700e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 7: FEs=1040 with 2.0700e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 8: FEs=914 with 3.8070e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 9: FEs=902 with -4.5420e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 10: FEs=902 with 6.6950e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 11: FEs=938 with 5.8320e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 12: FEs=944 with 1.9327e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 13: FEs=890 with -4.1901e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 14: FEs=884 with 4.0761e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 15: FEs=1004 with 2.8720e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
      date and time: 2022    4   19    1    7   11
  f3 in 2-D, instance 1: FEs=2922 with -4.6209e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 2: FEs=3510 with 7.7660e+01 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 3: FEs=1528 with 1.1568e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 4: FEs=650 with -3.7100e+00 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 5: FEs=2994 with 1.3218e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 6: FEs=482 with -5.8473e+02 fbest, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
