% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.806101783e+07 +1.806101783e+07 +1.806096289e+07 +1.806096289e+07 -5.4555e-01 -2.8458e+00 -2.9335e+00 -3.8073e-01 -3.6093e+00 -9.1874e-01 +2.8956e+00 +3.6168e+00 +3.3059e+00 -3.5027e+00 -3.5898e+00 +3.4492e+00 +2.1052e+00 +1.0060e+00 -2.7787e+00 -1.4043e+00 -2.4951e+00 -2.9530e+00 -1.0104e+00 +3.5549e-01
3 +7.267562006e+06 +7.267562006e+06 +7.267507066e+06 +7.267507066e+06 -1.7593e-01 -3.6927e+00 -2.5063e+00 +7.7584e-01 +5.1334e-01 -4.3164e-01 +4.3684e+00 +5.0185e+00 +4.6889e-01 -2.6425e+00 -2.3178e+00 +3.2427e+00 +2.8474e+00 +2.4351e-01 -3.4928e+00 -3.1552e-01 -5.2397e-01 +4.6395e-01 -4.2249e+00 -3.3325e+00
9 +3.960182289e+06 +3.960182289e+06 +3.960127349e+06 +3.960127349e+06 -5.0395e+00 -1.5066e+00 -5.2675e+00 +2.3403e+00 -3.4287e+00 -3.1466e+00 +3.0736e+00 +1.8561e+00 +3.4126e+00 -1.6954e+00 -4.9366e+00 +5.6095e+00 +5.0973e+00 -2.4191e+00 -3.5862e+00 -1.0541e+00 -4.4955e-01 -1.3294e+00 -2.9496e+00 -4.5517e-01
18 +2.235671504e+06 +2.235671504e+06 +2.235616564e+06 +2.235616564e+06 -1.8944e+00 -2.1668e+00 -5.1100e+00 -1.9800e+00 +2.2452e-01 -2.5965e+00 +3.4397e+00 +4.0767e+00 +1.2597e+00 -1.9184e+00 -4.5170e+00 +3.8025e+00 +4.5796e+00 -6.8351e-01 -3.5856e+00 -1.2380e+00 -2.2930e+00 -3.2878e+00 -4.1277e+00 -1.3322e+00
39 +1.065142154e+06 +1.065142154e+06 +1.065087214e+06 +1.065087214e+06 -3.1812e+00 -3.7819e+00 -4.7708e+00 -1.9908e+00 +1.7651e+00 -4.7531e+00 +1.7664e+00 +1.0294e+00 +4.5842e+00 -3.3774e+00 +1.8624e+00 +3.9659e+00 +4.8290e+00 -2.3417e+00 -1.1480e+00 -4.7629e+00 -1.2504e+00 -8.9739e-01 -4.1897e+00 +1.1855e+00
834 +9.450166767e+05 +9.450166767e+05 +9.449617367e+05 +9.449617367e+05 -1.0572e+01 -1.9467e+00 -1.0616e+01 +3.8258e+00 +2.7618e+00 -3.9658e+00 +2.7472e+00 -2.2698e+00 +7.3115e+00 -1.0406e+01 +1.6645e+00 +4.8896e+00 +1.7934e+00 +7.0602e+00 +2.4792e-01 -8.8494e+00 +4.6231e+00 +3.5597e-01 -6.1223e+00 -6.0765e+00
1267 +6.132561605e+05 +6.132561605e+05 +6.132012205e+05 +6.132012205e+05 -8.0118e+00 -8.7987e-01 -1.1179e+01 +4.2025e+00 +5.3459e+00 -1.8753e+00 -2.9242e+00 -1.5606e+00 +3.0423e-01 -1.1253e+01 +3.3110e+00 +2.8441e+00 +1.1326e+00 +3.7961e+00 +3.0348e+00 -1.0378e+01 +1.4858e+00 -5.4999e+00 -4.1394e+00 -8.4455e+00
1413 +3.871295332e+05 +3.871295332e+05 +3.870745932e+05 +3.870745932e+05 -7.4451e+00 -1.6944e+00 -1.0627e+01 +6.4104e+00 +6.2807e+00 -3.0220e+00 -4.1724e+00 -7.4724e-01 -2.7325e+00 -9.0317e+00 +4.4582e+00 +4.4365e+00 +8.9916e-01 +1.3445e+00 +3.1643e+00 -8.5920e+00 +7.2467e-01 -9.3913e+00 -3.8725e+00 -9.4597e+00
1497 +2.499987333e+05 +2.499987333e+05 +2.499437933e+05 +2.499437933e+05 -6.8779e+00 -5.3334e-01 -1.0655e+01 +5.8423e+00 +7.3549e+00 -2.6168e+00 -5.2299e+00 -7.5547e-01 -4.9930e+00 -8.2951e+00 +4.6227e+00 +3.8396e+00 +9.1713e-01 +5.2760e-01 +4.5313e+00 -8.7308e+00 +1.6037e+00 -1.1092e+01 -2.8267e+00 -8.8690e+00
1688 +1.409823125e+05 +1.409823125e+05 +1.409273725e+05 +1.409273725e+05 -6.2581e+00 +1.3126e+00 -9.5318e+00 +6.4247e+00 +9.5573e+00 -1.4479e+00 -7.0223e+00 +1.6798e-01 -8.3196e+00 -7.4224e+00 +6.5135e+00 +4.3160e+00 +5.4350e-02 -2.3088e+00 +5.2263e+00 -9.6408e+00 +3.2294e+00 -1.3607e+01 -1.3855e+00 -9.2656e+00
1989 +9.882732474e+04 +9.882732474e+04 +9.877238474e+04 +9.877238474e+04 -5.9995e+00 +6.5119e-01 -9.9817e+00 +6.2865e+00 +9.6431e+00 -1.7182e+00 -6.8977e+00 +3.4539e-01 -8.7174e+00 -7.7619e+00 +7.7394e+00 +5.4273e+00 +5.2861e-01 -3.2227e+00 +5.7390e+00 -1.0217e+01 +2.5603e+00 -1.4647e+01 -1.2915e+00 -9.4672e+00
2287 +6.035165156e+04 +6.035165156e+04 +6.029671156e+04 +6.029671156e+04 -6.0500e+00 +4.9045e-01 -8.2150e+00 +5.8196e+00 +1.0553e+01 -3.2292e-01 -7.4288e+00 +7.4592e-01 -9.9184e+00 -8.1418e+00 +1.0277e+01 +6.4348e+00 +2.1150e-01 -3.7216e+00 +5.7786e+00 -1.0048e+01 +2.2931e+00 -1.5358e+01 +1.7359e-01 -1.0684e+01
2456 +3.849894153e+04 +3.849894153e+04 +3.844400153e+04 +3.844400153e+04 -5.5794e+00 -3.4569e-01 -8.0797e+00 +6.2250e+00 +1.1215e+01 +2.3152e-01 -8.8743e+00 +1.3499e+00 -1.1349e+01 -8.0914e+00 +1.0654e+01 +6.1154e+00 +1.9721e-01 -4.9083e+00 +6.4385e+00 -1.0109e+01 +6.4773e-01 -1.6779e+01 +8.6159e-01 -1.0464e+01
2799 +2.468318609e+04 +2.468318609e+04 +2.462824609e+04 +2.462824609e+04 -5.8670e+00 -4.3846e-01 -7.5891e+00 +6.7932e+00 +1.1900e+01 +4.1155e-01 -9.3569e+00 +8.7155e-01 -1.2278e+01 -8.0405e+00 +1.0746e+01 +6.2139e+00 +3.7246e-01 -4.1987e+00 +7.2755e+00 -9.4619e+00 +5.4323e-01 -1.7784e+01 +9.2417e-01 -1.1146e+01
3532 +1.578966142e+04 +1.578966142e+04 +1.573472142e+04 +1.573472142e+04 -5.7745e+00 -7.6333e-01 -7.4945e+00 +6.8810e+00 +1.1865e+01 +1.0847e+00 -1.0097e+01 +1.7187e+00 -1.2385e+01 -7.2046e+00 +1.0885e+01 +6.7357e+00 +7.7909e-01 -4.4222e+00 +7.1503e+00 -9.2693e+00 +3.8467e-01 -1.8188e+01 +6.8885e-01 -1.1115e+01
3994 +9.838387804e+03 +9.838387804e+03 +9.783447804e+03 +9.783447804e+03 -6.4059e+00 -7.4570e-01 -7.2585e+00 +7.1195e+00 +1.0934e+01 +1.1704e+00 -9.9768e+00 +2.4299e+00 -1.1391e+01 -6.0198e+00 +1.0765e+01 +7.2996e+00 +2.2049e+00 -4.4480e+00 +7.6587e+00 -8.6753e+00 +4.1145e-01 -1.8013e+01 +7.6500e-02 -1.1489e+01
4349 +6.202880978e+03 +6.202880978e+03 +6.147940978e+03 +6.147940978e+03 -6.4690e+00 -9.1593e-01 -7.2592e+00 +7.1499e+00 +1.0283e+01 +1.8705e+00 -1.0868e+01 +3.5635e+00 -1.0886e+01 -4.9806e+00 +1.0753e+01 +8.1776e+00 +3.3605e+00 -3.9951e+00 +7.6986e+00 -8.4825e+00 +2.7408e-01 -1.7840e+01 -3.4513e-01 -1.2163e+01
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.714638035e+06 +3.714638035e+06 +3.714697165e+06 +3.714697165e+06 -2.3808e+00 +7.7159e-01 -3.3323e+00 +3.6924e+00 +3.8470e+00 -2.2069e+00 +3.7249e-01 -1.1996e+00 -8.7455e-02 +2.2917e+00 +1.9130e-01 +2.7716e+00 -8.5102e-01 +3.9320e+00 -3.7988e+00 -3.5185e+00 -1.9549e+00 +2.6882e+00 +6.9338e-01 +5.5186e-01
40 +1.792893285e+06 +1.792893285e+06 +1.792952415e+06 +1.792952415e+06 +4.5658e-01 +2.6143e+00 +4.3247e-01 +1.7755e+00 +1.8682e+00 -4.3986e+00 -1.0465e+00 -2.2700e+00 +7.0109e-01 -5.5950e-02 +4.0496e+00 +6.1478e+00 -1.1502e+00 +4.1627e+00 -4.0293e+00 -5.1846e+00 -9.7829e-01 +2.9805e+00 -3.8372e+00 +1.8389e+00
73 +1.097386441e+06 +1.097386441e+06 +1.097445571e+06 +1.097445571e+06 -6.7971e-01 +4.1385e+00 +4.4922e-01 +2.7199e+00 +2.1205e+00 -1.6095e+00 +1.7817e+00 -3.3279e-01 -9.4515e-01 +1.1079e+00 +4.0512e+00 +5.0340e+00 -9.8699e-01 +3.9670e+00 -3.0521e+00 -6.1478e+00 -5.7212e-01 +2.5767e+00 -1.2201e+00 +4.3855e+00
281 +7.265435400e+05 +7.265435400e+05 +7.266026700e+05 +7.266026700e+05 +2.0331e+00 +6.7907e+00 -6.0120e-01 +3.6253e+00 +5.3968e+00 -1.0181e+00 +4.8497e+00 +4.4912e+00 -4.7029e+00 +1.4613e+00 +3.6428e+00 +8.0756e-01 -4.9130e+00 +1.3373e-01 -6.4809e+00 -3.9686e+00 +1.8324e-01 +2.8707e-01 -5.9785e+00 -2.8820e+00
