% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.392582339e+02 +4.392582339e+02 +5.418682339e+02 +5.418682339e+02 -1.5139e+00 +3.0545e-01 -5.4343e-01 +6.4486e-01 +9.6233e-01 +1.7841e+00 -2.7301e+00 -3.2320e+00 -3.1341e+00 -2.9079e+00 -3.0679e+00 -1.3949e+00 -1.8447e+00 +1.9591e+00 +6.6926e-01 -1.5303e+00 -8.8130e-01 -3.9674e+00 -1.6685e+00 +1.0464e+00
101 +3.324013295e+02 +3.324013295e+02 +4.350113295e+02 +4.350113295e+02 +5.4232e-01 -1.7340e+00 -9.7475e-02 +1.0328e+00 -6.1299e-01 +8.3745e-02 -1.1812e+00 -2.2189e+00 -1.6483e+00 -4.6278e-01 +3.0385e-01 -1.4463e+00 +1.2525e-02 -2.0098e+00 -6.1634e-03 -1.4856e+00 +9.2611e-01 -1.5320e+00 +1.2923e+00 -1.6447e-01
215 +2.244062796e+02 +2.244062796e+02 +3.270162796e+02 +3.270162796e+02 +2.6540e-01 -6.3983e-01 -1.5299e+00 +2.9555e+00 +1.9586e-01 -9.0563e-01 -1.3437e+00 -1.2797e+00 -8.2289e-01 +7.7445e-01 -1.9738e+00 -3.5172e+00 -2.0290e+00 +2.4794e+00 -4.9271e-01 -1.2994e+00 -1.3117e+00 +1.6133e-01 +3.4707e-01 +1.4126e+00
1587 +1.406770684e+02 +1.406770684e+02 +2.432870684e+02 +2.432870684e+02 +9.5177e-01 +4.3225e-01 -1.7798e+00 +1.3544e+00 -1.7182e+00 -6.5003e-01 -1.8484e+00 -8.2928e-01 -1.1475e+00 +1.3674e+00 -1.2501e+00 -2.0526e+00 -1.6192e+00 +2.4030e+00 -4.3454e-01 -1.8284e+00 -7.3527e-01 -9.6165e-01 +9.2737e-01 +1.0513e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.093465354e+02 +8.093465354e+02 +9.026465354e+02 +9.026465354e+02 -2.3844e+00 -2.3088e+00 +3.8003e+00 +3.7486e+00 +6.6434e-01 -1.8759e+00 -2.6306e+00 -2.2730e+00 +1.1834e+00 -2.5783e+00 -1.7967e+00 +3.0279e+00 +2.8640e+00 +3.7279e+00 -3.3456e+00 +3.6526e+00 +2.7091e-01 +1.6002e+00 -3.2606e+00 +3.9727e+00
19 +5.881818174e+02 +5.881818174e+02 +6.814818174e+02 +6.814818174e+02 -2.3377e+00 -2.6214e+00 +2.5880e-01 +1.0176e+00 -1.8949e+00 +3.0978e+00 -3.4316e+00 -1.7722e+00 +3.8376e-01 -3.2170e+00 -2.9379e+00 +3.9815e+00 +8.9978e-01 +3.4434e+00 -5.4217e-01 +3.5513e+00 +5.4160e-01 +7.5984e-01 -3.9389e+00 +2.7393e+00
141 +3.491000619e+02 +3.491000619e+02 +4.424000619e+02 +4.424000619e+02 -2.5298e+00 +2.1910e-01 +1.5166e+00 +2.4726e+00 +1.6991e+00 -9.3074e-01 +4.4790e+00 -9.7012e-01 -6.2667e-01 +6.7468e-01 -7.9622e-01 +1.5469e+00 +7.2117e-01 +3.1067e+00 +9.5017e-01 +6.2861e-01 +2.6563e+00 +1.5530e+00 +1.1422e+00 +6.5415e-01
341 +2.228480206e+02 +2.228480206e+02 +3.161480206e+02 +3.161480206e+02 -7.6433e-01 +1.1660e+00 +8.2291e-01 +9.4802e-01 +3.1635e+00 -4.5138e-01 +1.3024e+00 -2.0764e+00 +4.7335e-01 +2.3149e+00 -6.1962e-01 -2.1166e+00 -2.7643e+00 +3.1913e-01 +2.1078e+00 -6.7168e-01 +8.3772e-01 -8.3930e-01 +1.7168e+00 +2.4439e+00
1090 +1.512661810e+02 +1.512661810e+02 +2.445661810e+02 +2.445661810e+02 -1.3658e+00 -3.4564e-01 +4.5127e-01 +1.3833e+00 +1.0221e+00 -1.7504e+00 +7.0776e-01 -2.1995e+00 +1.1865e+00 +1.3815e+00 -1.4716e+00 -1.3130e+00 -2.3427e+00 -9.7170e-01 +4.6058e-01 +1.3060e+00 +7.4863e-01 -1.3671e+00 +5.9249e-01 +2.4588e+00
