>> exampleexperiment
  f1 in 2-D, instance 1: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 2: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 3: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 4: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 5: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 6: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 7: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 8: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 9: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 10: FEs=4100 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 11: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 12: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 13: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 14: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f1 in 2-D, instance 15: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
      date and time: 2022    4   18    0   56   23
  f2 in 2-D, instance 1: FEs=4020 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 2: FEs=4420 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 3: FEs=4380 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 4: FEs=4300 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 5: FEs=4440 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 6: FEs=4400 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 7: FEs=4440 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 8: FEs=4440 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 9: FEs=4460 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 10: FEs=4340 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 11: FEs=4540 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 12: FEs=4140 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 13: FEs=4020 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 14: FEs=5000 with 2 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f2 in 2-D, instance 15: FEs=4340 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
      date and time: 2022    4   18    0   56   25
  f3 in 2-D, instance 1: FEs=4660 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 2: FEs=4740 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 3: FEs=4780 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 4: FEs=5000 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 5: FEs=4100 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 6: FEs=4700 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 7: FEs=4620 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 8: FEs=4540 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 9: FEs=4440 with 1 restarts, fbest-ftarget=0.0000e+00, elapsed time [h]: 0.00
