% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.542496022e+01 +8.542496022e+01 -9.145750398e+02 -9.145750398e+02 -1.7378e+00 +1.2580e+00 -1.1953e-01 +1.8167e-01 +2.4316e+00 +4.8750e+00 -4.9625e+00 -2.6473e+00 +3.9741e+00 -2.9744e+00 +2.8561e-01 -4.1561e-01 +5.2063e-01 +3.6734e+00 +3.8057e+00 -4.3879e+00 +4.9636e+00 -4.2942e+00 -9.7035e-01 +9.0933e-01
555 +6.281447858e+01 +6.281447858e+01 -9.371855214e+02 -9.371855214e+02 -2.1557e+00 -2.3419e+00 +1.6908e+00 +7.8492e-01 -9.4903e-01 -2.1042e+00 +5.3530e-01 +5.7205e-01 +2.0547e+00 +1.6282e+00 +3.0832e+00 -3.0878e+00 -6.3385e-01 +1.3100e+00 -1.5676e+00 -1.4960e+00 -1.3402e+00 +2.7930e+00 -1.5440e+00 +1.3658e+00
1608 +3.870397194e+01 +3.870397194e+01 -9.612960281e+02 -9.612960281e+02 -1.8081e+00 -3.3169e+00 +3.5728e+00 +9.3049e-01 -7.1290e-02 -1.6800e+00 +1.7853e+00 +1.3391e+00 +5.4075e-01 +2.3671e+00 +2.6379e+00 -3.3277e+00 -8.2419e-01 +9.3133e-01 -2.3334e+00 -1.8825e+00 -2.7419e+00 +2.8254e+00 +1.8217e-01 +3.2487e+00
3683 +2.501444925e+01 +2.501444925e+01 -9.749855508e+02 -9.749855508e+02 -2.8611e+00 -3.6923e+00 +2.7121e+00 -3.3559e-01 +1.4822e+00 -7.9596e-01 +2.5837e+00 +1.4985e+00 +5.5134e-01 +2.4401e+00 +2.9880e+00 -3.6269e+00 -1.8672e+00 +1.0278e-01 -3.0466e+00 -3.6750e+00 -4.1112e+00 +1.6912e+00 -8.4474e-01 +4.0074e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.634632188e+01 +8.634632188e+01 +1.086346322e+03 +1.086346322e+03 -4.4854e+00 -4.1297e+00 +4.6836e+00 +1.2333e+00 +1.5202e+00 -3.8674e+00 +4.6772e+00 +2.2123e+00 +3.2971e+00 +4.3477e+00 -2.8638e+00 +3.0488e+00 +1.3521e-01 -1.2753e+00 +6.4062e-01 -2.5863e+00 -1.8194e+00 -1.5932e-01 -2.4835e+00 -4.9298e+00
1212 +6.306333679e+01 +6.306333679e+01 +1.063063337e+03 +1.063063337e+03 -1.5850e+00 -9.1602e-01 +1.4021e+00 -8.4679e-01 +9.8813e-02 +1.0896e+00 -2.4744e+00 -3.7926e+00 -3.6340e+00 +1.7912e+00 -4.3954e+00 -4.9988e+00 -3.8010e+00 +4.0876e+00 +5.8281e-01 +3.3548e+00 -8.9655e-01 +1.7363e+00 +1.4430e+00 -4.2893e+00
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.611525022e+01 +8.611525022e+01 +3.698525022e+01 +3.698525022e+01 -3.6497e+00 +3.1954e+00 -3.6183e+00 +1.2877e+00 +9.1548e-01 -4.2964e+00 -3.9292e+00 -2.0011e+00 +1.9025e+00 +3.2459e+00 +2.3084e+00 +4.1196e+00 -4.5529e+00 -2.9474e+00 -2.5339e+00 +2.3163e+00 -1.2698e+00 +3.9883e+00 +1.1555e+00 +2.6164e+00
556 +6.193378269e+01 +6.193378269e+01 +1.280378269e+01 +1.280378269e+01 -1.6321e+00 +2.8462e+00 +1.4464e+00 -5.6653e-01 +4.3153e+00 -3.4234e-01 -4.3881e+00 +5.1909e+00 +4.4233e-01 +4.5112e+00 -4.4388e+00 -1.1865e+00 +1.3121e+00 +1.5607e+00 -4.7021e-01 +5.7598e-01 +2.5345e+00 -3.3294e+00 -1.7295e+00 -1.0369e+00
727 +3.596139941e+01 +3.596139941e+01 -1.316860059e+01 -1.316860059e+01 -1.1099e+00 +3.6391e+00 +1.3114e+00 -1.0042e-01 +3.7981e+00 +1.0502e+00 -3.5480e+00 +6.3339e+00 +1.5553e+00 +3.7851e+00 -4.4709e+00 -3.0263e+00 +1.7310e+00 +4.5569e+00 +1.7990e+00 -1.6293e-01 +1.9213e+00 -2.1345e+00 -1.3238e+00 -1.1966e+00
1290 +2.468470039e+01 +2.468470039e+01 -2.444529961e+01 -2.444529961e+01 -8.1721e-01 +3.1665e+00 +1.8920e+00 +7.9651e-02 +3.8868e+00 +2.5199e+00 -2.9444e+00 +5.6753e+00 +1.6912e+00 +3.4741e+00 -4.2586e+00 -1.7985e+00 +9.1170e-01 +3.6777e+00 +1.0878e+00 +1.0044e+00 +1.7537e+00 -2.0306e+00 -1.5991e+00 -1.7630e+00
2597 +1.583156700e+01 +1.583156700e+01 -3.329843300e+01 -3.329843300e+01 -2.5290e-01 +3.5332e+00 +2.5025e+00 +3.3405e-01 +4.2835e+00 +3.0490e+00 -3.2657e+00 +5.4164e+00 +3.0780e+00 +3.2235e+00 -3.9505e+00 -1.9339e+00 +1.3171e+00 +3.9135e+00 +1.6859e+00 +6.3241e-01 +1.6295e+00 -1.9194e+00 -1.7077e+00 -1.4386e+00
