% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.988208666e+02 +6.988208666e+02 +8.014308666e+02 +8.014308666e+02 -3.1216e+00 -2.3006e-02 -2.6458e+00 +8.5102e-01 +2.2263e+00 +2.6156e+00 -4.4529e-01 +1.1794e+00 -1.3053e+00 +2.1367e+00 -7.7108e-01 -4.4542e+00 +2.5649e+00 +4.0368e+00 -3.3808e+00 -4.9006e+00 +9.7476e-01 +3.7729e+00 +2.5622e+00 -1.4162e+00
9 +5.908597854e+02 +5.908597854e+02 +6.934697854e+02 +6.934697854e+02 +1.7871e+00 -3.3924e+00 +3.6706e-01 +1.7841e-01 -6.9601e-01 -1.8418e-02 -1.8891e+00 +5.1213e-02 -4.6807e+00 +4.3292e+00 +5.7698e-01 -2.1742e+00 +1.0020e+00 -1.5562e+00 +1.0696e+00 -8.0252e-01 +3.0915e-01 +4.0870e+00 -9.7503e-02 -2.8878e-01
22 +3.830527557e+02 +3.830527557e+02 +4.856627557e+02 +4.856627557e+02 +2.8912e+00 -3.3924e+00 +3.6706e-01 -9.7999e-01 +1.5310e-01 +2.2291e+00 -1.8891e+00 +5.1213e-02 +1.3523e-01 -1.2395e+00 +2.1692e+00 +1.1632e+00 +1.0020e+00 -1.5562e+00 +1.0696e+00 +1.6974e+00 -2.9162e-02 +7.6910e-02 -9.7503e-02 -2.8878e-01
390 +2.475906573e+02 +2.475906573e+02 +3.502006573e+02 +3.502006573e+02 +1.8404e-01 +1.4579e+00 -1.0388e+00 +2.0776e+00 -8.0599e-01 -1.2882e+00 -1.2784e+00 -9.9663e-02 -1.2334e+00 +3.4870e+00 -2.8343e+00 +1.5630e-01 +3.4006e-01 +4.3601e-01 -2.2160e+00 +6.5989e-01 +1.0126e+00 +8.4260e-01 +2.6983e+00 +1.1106e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.367675973e+02 +7.367675973e+02 +8.300675973e+02 +8.300675973e+02 +8.2954e-01 +1.4946e+00 +2.7288e-01 -1.5180e-01 -4.6550e-01 -2.4640e+00 +3.9835e+00 -1.5274e+00 +7.4183e-01 +9.6512e-03 -2.0403e+00 -2.9411e+00 +4.4147e+00 +4.9342e+00 -4.1904e+00 -3.3496e-01 +3.5004e+00 +1.1359e+00 +5.4911e-01 -5.5120e-01
6 +5.943239332e+02 +5.943239332e+02 +6.876239332e+02 +6.876239332e+02 -3.3161e-01 +4.3637e+00 -2.6207e+00 +1.2545e+00 +9.4138e-01 +3.9858e+00 -1.4538e-02 +2.0760e-01 -1.1609e+00 -1.4557e+00 -8.1665e-01 +1.7537e-01 -6.3691e-01 -4.3669e+00 -1.4316e-01 -1.8534e+00 -3.7865e+00 +4.6614e+00 +1.1760e+00 +5.4442e-02
186 +3.718221403e+02 +3.718221403e+02 +4.651221403e+02 +4.651221403e+02 +1.0532e+00 +1.0138e+00 -3.9121e+00 +3.4193e-01 -7.6016e-01 +2.2423e+00 -2.0584e+00 -9.3432e-01 -3.2264e-01 +5.3212e-01 -9.3869e-01 +2.9487e+00 -4.0744e-01 +2.4144e+00 -2.4668e+00 -2.5256e+00 -2.1176e-02 +4.0304e-01 +1.6894e+00 +3.1889e-01
502 +2.505228586e+02 +2.505228586e+02 +3.438228586e+02 +3.438228586e+02 +1.2627e+00 +9.5943e-01 -2.4466e+00 -5.1028e-01 -1.5192e+00 +3.3737e-01 -1.6996e+00 -2.7109e-01 -1.9593e-01 +1.2717e+00 +7.4422e-02 +3.9287e+00 +2.1522e+00 +6.4963e-01 -2.4511e+00 -1.4172e+00 +6.9456e-01 +6.3084e-02 -1.6103e+00 -1.3434e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
