% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.470420108e+05 +2.470420108e+05 +2.464955108e+05 +2.464955108e+05 -4.6767e+00 +2.2377e+00 -4.6630e+00 +2.0094e+00 +2.6746e+00 -2.0864e+00 -3.9149e+00 -2.3412e+00 -3.2148e+00 -2.1231e+00 -2.7918e+00 -4.0363e+00 +2.4783e+00 -1.9459e+00 +3.1574e+00 +7.7760e-01 +1.9761e-01 +3.5780e+00 +3.5513e+00 +1.1836e+00
4 +1.040489297e+05 +1.040489297e+05 +1.035024297e+05 +1.035024297e+05 -4.8147e-02 +1.7647e+00 +1.1720e+00 -2.5234e+00 +2.0166e+00 -3.3678e+00 +9.6318e-01 +1.8672e+00 -4.9763e+00 +1.9381e+00 -1.6064e+00 +5.9147e-01 -1.2694e+00 +2.9005e+00 -1.2176e+00 +9.1204e-01 +1.0715e+00 +1.4515e+00 -2.2866e+00 +4.6151e+00
8 +2.332299785e+04 +2.332299785e+04 +2.277649785e+04 +2.277649785e+04 +3.6327e+00 +9.5884e-02 -7.6082e-01 -9.0981e-02 -2.3129e-01 +2.2980e+00 -2.7403e+00 +1.0661e+00 +3.8713e+00 +4.4905e+00 +1.0121e+00 -5.1638e-01 +1.1353e+00 -3.9601e+00 +2.4931e-01 -3.3906e+00 +2.7879e+00 +1.9490e-01 -1.6411e+00 +1.2150e+00
335 +7.843726397e+03 +7.843726397e+03 +7.297226397e+03 +7.297226397e+03 +6.2534e-01 +3.9028e+00 -1.6274e+00 -5.6703e-01 -9.5456e-01 +1.9217e+00 -2.4447e+00 +7.2011e-01 +1.6352e+00 +2.3290e+00 -1.1144e+00 +3.0298e+00 +1.7459e+00 -7.9615e-01 +2.5739e+00 -3.2186e+00 +1.7957e+00 -2.8944e+00 -2.1453e+00 +5.1339e-01
1223 +5.023206498e+03 +5.023206498e+03 +4.476706498e+03 +4.476706498e+03 +6.2534e-01 +3.9028e+00 -1.6274e+00 -5.6703e-01 -9.5456e-01 +1.9217e+00 -2.4447e+00 +7.2011e-01 +1.6352e+00 +2.3290e+00 -1.1144e+00 +3.0298e+00 +1.7459e+00 -7.9615e-01 +2.6637e+00 -9.1669e-01 +1.7958e+00 -2.8944e+00 -2.1453e+00 +5.1339e-01
1709 +3.356168556e+03 +3.356168556e+03 +2.809668556e+03 +2.809668556e+03 +6.2534e-01 +1.2666e+00 +2.3729e-01 +1.5294e+00 -6.1209e-01 -1.2096e+00 -2.9590e+00 -7.1257e-01 -6.4099e-02 -4.5726e-02 -1.1144e+00 +3.0303e+00 +1.6834e+00 -7.9615e-01 +1.3636e+00 -9.1669e-01 +1.7958e+00 -2.8944e+00 -2.1453e+00 +5.1339e-01
2346 +1.960012574e+03 +1.960012574e+03 +1.413512574e+03 +1.413512574e+03 +6.2531e-01 +3.9028e+00 -1.6274e+00 -5.6703e-01 -6.1209e-01 -1.2096e+00 -1.4191e+00 +1.5275e+00 +6.0808e-01 +2.3290e+00 -1.1144e+00 +3.0308e+00 +1.6835e+00 -7.9615e-01 +2.0739e+00 -2.2186e+00 +1.8114e+00 -2.8944e+00 -2.0203e+00 +5.1339e-01
2761 +1.536689089e+03 +1.536689089e+03 +9.901890894e+02 +9.901890894e+02 +3.4859e+00 +1.2666e+00 +2.3729e-01 +1.5294e+00 -6.1209e-01 -1.2096e+00 -2.9590e+00 -7.0463e-01 -6.4099e-02 -4.1331e-02 +2.4583e+00 +2.2920e+00 +1.9617e-01 -3.4519e+00 +1.3636e+00 -2.2186e+00 +1.7958e+00 -6.4812e-01 -2.4838e+00 +4.2111e-01
2875 +9.210839103e+02 +9.210839103e+02 +3.745839103e+02 +3.745839103e+02 +6.2534e-01 +1.2666e+00 +2.3729e-01 +1.5294e+00 -6.1209e-01 -1.2096e+00 -2.7090e+00 -7.0475e-01 -6.4099e-02 +2.3290e+00 -1.1144e+00 +3.0308e+00 +1.6834e+00 -2.9615e-01 +1.3636e+00 -9.1669e-01 +7.6341e-01 -5.2312e-01 -2.1413e+00 +5.1339e-01
3129 +6.210085422e+02 +6.210085422e+02 +7.450854222e+01 +7.450854222e+01 +3.4859e+00 +1.2666e+00 +2.3729e-01 +1.5294e+00 -6.1221e-01 -1.2096e+00 -2.9590e+00 -7.0463e-01 -6.4099e-02 +1.8520e+00 +1.1144e+00 +3.3056e-02 +1.6834e+00 -7.9615e-01 +2.5739e+00 -2.2186e+00 +1.7958e+00 -6.4763e-01 -2.4838e+00 +4.2111e-01
3330 +3.429888430e+02 +3.429888430e+02 -2.035111570e+02 -2.035111570e+02 +6.2534e-01 +1.2666e+00 +2.3729e-01 +1.5294e+00 -6.1209e-01 -1.2096e+00 -2.9590e+00 -7.0475e-01 -6.4099e-02 -4.5726e-02 -1.1431e-01 +3.0308e+00 +1.1677e+00 -7.9615e-01 +1.3636e+00 -9.1669e-01 +1.7958e+00 -6.4812e-01 -2.4838e+00 +4.2014e-01
3549 +1.093939071e+02 +1.093939071e+02 -4.371060929e+02 -4.371060929e+02 +6.3315e-01 +1.2667e+00 +2.3729e-01 +1.5294e+00 -5.9646e-01 -1.2096e+00 -1.4191e+00 +1.5275e+00 +6.0905e-01 +2.3290e+00 +2.4583e+00 +2.2930e+00 +7.5316e-01 -5.8801e-01 +1.1136e+00 -1.6555e+00 +2.0672e+00 -6.4714e-01 -2.4838e+00 +5.1339e-01
4118 +9.281508567e+01 +9.281508567e+01 -4.536849143e+02 -4.536849143e+02 +6.3315e-01 +1.2667e+00 +4.8729e-01 +1.5294e+00 -5.9646e-01 -1.2096e+00 -1.4191e+00 +1.5275e+00 +6.0905e-01 +2.3290e+00 +2.4583e+00 +2.2930e+00 +7.5316e-01 -5.8801e-01 +1.1156e+00 -1.6516e+00 +2.0672e+00 -6.4421e-01 -2.4838e+00 +5.1339e-01
4280 +3.207964028e+01 +3.207964028e+01 -5.144203597e+02 -5.144203597e+02 +6.2546e-01 +1.2749e+00 +2.3729e-01 -8.1703e-01 -6.1209e-01 -1.2175e+00 -2.4590e+00 -7.0475e-01 -3.1410e-01 -4.5726e-02 +2.4583e+00 +2.2920e+00 +1.9617e-01 -7.9615e-01 +2.5739e+00 -2.2186e+00 +1.7958e+00 -6.4812e-01 -2.4838e+00 +5.1339e-01
4749 +2.117743552e+01 +2.117743552e+01 -5.253225645e+02 -5.253225645e+02 +6.2534e-01 +1.2744e+00 +2.3729e-01 +1.0293e+00 -5.9646e-01 -1.2096e+00 -1.2941e+00 +1.5275e+00 -6.3611e-02 -4.5726e-02 +2.4583e+00 +2.2920e+00 +1.9617e-01 -2.7962e+00 +1.3636e+00 -2.2186e+00 +1.7958e+00 -6.4812e-01 -2.4838e+00 +5.1339e-01
4787 +1.300260644e+01 +1.300260644e+01 -5.334973936e+02 -5.334973936e+02 +6.2531e-01 +2.6662e-01 +2.3729e-01 -5.6703e-01 -9.5456e-01 -3.2096e+00 -1.4191e+00 -7.3600e-01 -6.4099e-02 +2.3290e+00 +4.5831e-01 +2.2930e+00 +7.5316e-01 -5.8801e-01 +1.1134e+00 -1.7180e+00 +2.0672e+00 -6.4812e-01 -2.4838e+00 +5.1338e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.883518495e+05 +1.883518495e+05 +1.893518495e+05 +1.893518495e+05 +4.7735e+00 +2.8435e+00 -3.4020e+00 +2.0919e+00 +9.5984e-01 -3.5897e+00 -1.0569e+00 -2.0222e+00 +2.1823e+00 +6.9642e-01 -1.1775e+00 +1.5097e+00 +2.6695e+00 +1.6711e+00 +3.4736e+00 +6.3068e-01 -2.2941e+00 +3.9773e+00 -4.1446e-01 +6.8037e-01
2 +8.156075018e+04 +8.156075018e+04 +8.256075018e+04 +8.256075018e+04 +4.3312e+00 -9.0503e-01 +2.5472e-01 +4.0540e+00 -3.4372e+00 +9.3205e-01 +8.1866e-01 +2.2583e+00 +1.4349e+00 -4.1346e-01 +2.2114e+00 +6.2025e-01 +1.9240e+00 +2.2593e+00 -4.1225e+00 -2.9819e+00 -6.7412e-01 -3.2322e+00 -4.7432e+00 +1.0086e+00
16 +3.226595761e+04 +3.226595761e+04 +3.326595761e+04 +3.326595761e+04 +2.9265e+00 +6.3664e-01 -4.7584e+00 +2.6635e+00 -1.1578e+00 +4.1651e+00 +2.5657e+00 +2.5445e+00 -1.1816e+00 -1.0379e+00 -4.3887e+00 -2.8515e+00 -1.1366e+00 +6.8377e-02 -4.7141e+00 -3.2321e+00 +6.8163e-01 -3.6411e+00 +8.7093e-01 +2.6232e+00
1071 +1.979874940e+04 +1.979874940e+04 +2.079874940e+04 +2.079874940e+04 -2.7964e+00 +1.8548e+00 -3.0036e+00 +3.0493e+00 -1.3412e+00 +3.7383e+00 +1.8532e+00 +4.4146e-01 -2.5909e-01 -4.8104e-01 +4.6021e-01 -9.2998e-01 -3.9643e+00 -4.2939e-01 -3.4906e+00 +6.6151e-01 -4.9560e+00 -1.2767e+00 -8.4911e-01 +3.0335e+00
1089 +1.583756912e+04 +1.583756912e+04 +1.683756912e+04 +1.683756912e+04 +4.4625e+00 +1.1116e+00 -1.6027e+00 +2.7997e+00 +1.4287e+00 -2.8441e-01 -6.9755e-02 +4.0890e+00 -6.1127e-01 -2.0481e+00 -2.9514e+00 -2.8515e+00 -1.1366e+00 +6.8377e-02 -1.5075e+00 -2.4807e-01 +9.8082e-01 -2.4257e+00 -2.0891e+00 +2.6101e+00
1845 +8.049040172e+03 +8.049040172e+03 +9.049040172e+03 +9.049040172e+03 +4.4000e+00 +1.1116e+00 -1.6027e+00 -9.1350e-01 -3.3793e+00 -4.6501e-01 -2.2900e+00 +3.5463e+00 +1.3915e+00 -1.8428e+00 +7.9081e-01 -3.2527e+00 -1.3072e+00 -3.3434e+00 +1.2133e+00 -3.5982e+00 +3.6792e-02 -2.3007e+00 -1.0620e+00 +2.6101e+00
2020 +6.103275951e+03 +6.103275951e+03 +7.103275951e+03 +7.103275951e+03 +4.4625e+00 +1.1116e+00 -1.6027e+00 -9.1350e-01 -3.3793e+00 -2.0840e+00 +1.4449e+00 +1.7416e+00 -6.1123e-01 -2.0481e+00 -2.9475e+00 -2.8515e+00 -1.1991e+00 +6.8377e-02 -1.5075e+00 -2.2000e+00 +3.6792e-02 -2.4257e+00 -2.0891e+00 +2.6101e+00
