% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.850635738e+05 +2.850635738e+05 +2.852127238e+05 +2.852127238e+05 -6.0794e-01 -4.3910e+00 +5.8861e-01 -1.2632e+00 +1.7261e+00 +1.7048e+00 -2.0965e+00 +1.1473e+00 -1.2673e+00 +1.5863e-02 +2.7547e+00 +4.7722e+00 +4.9578e+00 -1.8408e-03 +2.6521e+00 -1.0151e+00 +1.4445e+00 +1.4858e+00 +1.7527e+00 +3.1407e+00
2 +1.121278665e+05 +1.121278665e+05 +1.122770165e+05 +1.122770165e+05 -4.4821e+00 -1.5086e+00 +1.6426e+00 +7.0483e-01 +1.3575e-01 -3.2391e+00 -1.1768e+00 +1.4045e+00 +3.0542e+00 +3.3295e+00 -6.9375e-01 -9.8834e-01 -1.4346e-01 +1.9094e+00 -3.6747e+00 -2.4297e+00 -2.6815e+00 -1.2168e+00 -1.5105e+00 -3.3230e+00
345 +8.332323932e+04 +8.332323932e+04 +8.347238932e+04 +8.347238932e+04 +1.3845e+00 -1.8689e+00 -7.5988e-01 +3.3354e+00 -1.5813e+00 -1.7724e-01 +9.2750e-01 -3.7847e+00 -2.7843e+00 -3.6763e+00 -3.2642e+00 -4.4422e+00 +4.3562e+00 +2.1151e+00 -1.0978e-01 -2.6242e+00 -7.9067e-01 -1.1033e-01 +7.1114e-01 +6.9964e-01
881 +3.086199857e+04 +3.086199857e+04 +3.101114857e+04 +3.101114857e+04 +1.3845e+00 -1.8689e+00 -7.5988e-01 +3.4604e+00 -1.5813e+00 -1.7724e-01 +9.1969e-01 -6.8250e-01 +2.1104e+00 +2.1419e+00 -4.0903e+00 +2.1860e+00 +2.1022e+00 -8.3729e-01 -1.9325e+00 -1.5779e+00 +1.5697e+00 +1.3872e+00 -3.1200e+00 +1.3535e-01
1219 +2.388216524e+04 +2.388216524e+04 +2.403131524e+04 +2.403131524e+04 -1.0031e+00 +6.2067e-01 +2.0581e-01 +3.3080e+00 -3.2077e+00 -1.3840e+00 -4.2542e+00 -6.8250e-01 +2.1104e+00 +2.1419e+00 -4.0425e-01 -8.1635e-01 +1.1015e+00 -3.5050e-01 -2.4393e+00 -1.4262e+00 -2.8470e+00 -1.4594e+00 -4.7037e+00 +4.3077e+00
1878 +1.553856336e+04 +1.553856336e+04 +1.568771336e+04 +1.568771336e+04 -1.6876e-01 -3.6739e+00 +1.2756e+00 +1.7877e+00 -4.9321e+00 -1.0023e+00 +4.2726e-01 +2.1170e-01 -9.6673e-01 +1.3605e+00 -1.6417e+00 -1.6051e+00 +3.6745e+00 -8.3729e-01 -1.9325e+00 -3.6442e+00 +1.5697e+00 +1.3872e+00 -3.1200e+00 +1.3535e-01
2303 +9.811572550e+03 +9.811572550e+03 +9.960722550e+03 +9.960722550e+03 -1.1284e+00 -1.3918e+00 +4.3573e-01 +3.4397e+00 -1.7987e+00 -8.5632e-01 -2.9090e+00 -2.2521e+00 -9.6673e-01 +1.3605e+00 -1.8917e+00 -1.6051e+00 +3.6745e+00 -8.4119e-01 -1.8075e+00 -3.6442e+00 +1.5697e+00 +1.3872e+00 -2.1200e+00 -3.2129e+00
3124 +6.228091212e+03 +6.228091212e+03 +6.377241212e+03 +6.377241212e+03 -1.1284e+00 -1.3918e+00 +4.3573e-01 +1.7877e+00 -4.4321e+00 -1.0023e+00 +4.2335e-01 -6.8251e-01 -9.6868e-01 +1.3605e+00 -1.8917e+00 -1.6051e+00 +3.6745e+00 -8.3729e-01 -1.9325e+00 -1.5740e+00 +5.7147e-01 -1.4555e+00 -3.1200e+00 -3.2129e+00
3959 +3.894938704e+03 +3.894938704e+03 +4.044088704e+03 +4.044088704e+03 -1.1323e+00 -1.2668e+00 +4.3573e-01 +1.7877e+00 -4.4323e+00 -1.0023e+00 -2.9256e+00 -2.2677e+00 -9.6673e-01 +1.3605e+00 -1.8995e+00 -1.6050e+00 +3.5495e+00 -8.3729e-01 -1.4247e+00 -2.5929e+00 -7.9067e-01 -2.0938e-01 -3.1200e+00 -3.2129e+00
4338 +2.502213360e+03 +2.502213360e+03 +2.651363360e+03 +2.651363360e+03 -1.1288e+00 -1.3923e+00 +4.3573e-01 +1.7877e+00 -4.9321e+00 -8.5803e-01 -1.8666e-01 -2.1165e+00 -9.6670e-01 +3.6053e-01 -1.8917e+00 -3.0179e-01 +1.1015e+00 -8.4119e-01 -1.9325e+00 -1.5779e+00 +5.7147e-01 +1.3872e+00 -2.1200e+00 -3.2129e+00
