% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.943755420e+01 +6.943755420e+01 -3.311244580e+01 -3.311244580e+01 -2.3848e+00 +3.7303e+00 -3.6035e+00 +4.4927e+00 +1.4172e+00 -2.9455e+00 +1.1775e+00 -3.2363e+00 -2.3873e+00 +4.7573e+00 +6.9355e-02 -7.5572e-01 +4.1891e+00 -3.5834e+00 +7.0962e-01 +2.1582e+00 -4.0879e+00 +4.3940e+00 -2.7538e+00 +3.5244e+00
2 +4.417530480e+01 +4.417530480e+01 -5.837469520e+01 -5.837469520e+01 -2.1285e+00 -2.4980e+00 +1.1641e+00 +3.2727e+00 -1.3857e+00 -3.5908e+00 +2.6117e+00 +2.7663e+00 +1.5692e+00 +3.9971e+00 -2.2658e+00 +2.4179e+00 -4.6203e+00 -3.3698e+00 -3.5080e+00 -2.5463e+00 -9.4114e-01 +3.1863e+00 +4.9684e+00 +1.2308e+00
3 +3.608705945e+01 +3.608705945e+01 -6.646294055e+01 -6.646294055e+01 +4.9395e+00 +3.7094e-01 +2.3575e+00 +4.7353e+00 -4.1087e+00 -3.8425e+00 -1.6217e-01 +3.5718e-01 +1.7421e+00 +2.9782e+00 -1.5333e+00 -2.2528e+00 -4.8017e-01 -2.5507e+00 -4.5039e+00 -4.0751e+00 +6.0105e-01 -1.6696e+00 -7.6748e-01 +8.8183e-01
48 +1.950577407e+01 +1.950577407e+01 -8.304422593e+01 -8.304422593e+01 -1.3851e+00 +2.6130e+00 +2.9899e-01 +9.0726e-01 +1.7953e+00 -2.5563e-02 +3.1358e-01 +3.0709e+00 +3.1824e+00 +5.5286e-01 +3.0277e+00 -2.3933e+00 -8.8184e-01 -1.1341e+00 +1.6546e+00 +1.6658e+00 +1.4063e+00 -6.0574e-01 +1.7763e+00 -1.8138e+00
120 +1.392581560e+01 +1.392581560e+01 -8.862418440e+01 -8.862418440e+01 +2.3297e-01 +9.5923e-01 +3.6995e-01 +1.5922e+00 +2.8814e+00 -1.1039e+00 -2.0143e-01 +3.0364e+00 +3.0017e+00 -1.6175e+00 +2.8410e+00 -1.6814e+00 -1.6123e+00 -2.0464e+00 -2.9230e+00 +1.2119e+00 +2.0587e-01 +5.2034e-01 +1.1850e+00 +0.0000e+00
436 +9.984711346e+00 +9.984711346e+00 -9.256528865e+01 -9.256528865e+01 -5.0054e-01 -1.0085e+00 -1.3014e+00 -1.5349e+00 +6.5346e-01 +5.9214e-01 -1.0382e+00 +2.6112e+00 +4.4547e-01 +4.4222e-01 +4.2474e+00 -6.1889e-01 -1.6114e+00 +7.4300e-01 -1.8936e-01 +0.0000e+00 +1.3033e+00 -2.6977e-01 -6.3640e-01 -1.2377e-01
2887 +5.895859536e+00 +5.895859536e+00 -9.665414046e+01 -9.665414046e+01 +4.8047e-01 -2.2396e+00 -2.3527e+00 -5.5989e-01 +1.3780e+00 -1.1499e+00 +2.2551e-01 +2.5858e-01 +0.0000e+00 -8.7025e-01 -6.4628e-01 -1.1496e+00 +1.9614e+00 +9.4675e-02 +1.7789e+00 -1.1724e+00 +1.3121e-01 -1.5951e+00 -1.3096e+00 -9.5025e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.059482262e+01 +5.059482262e+01 +1.222848226e+02 +1.222848226e+02 +3.9453e+00 +1.9550e+00 -6.4365e-01 -4.0242e+00 -1.1218e+00 -2.0476e+00 -1.5606e-01 -1.5863e+00 +4.0990e+00 +1.2025e+00 +2.4063e+00 -4.5485e+00 +3.5432e+00 -2.8990e+00 +1.1029e+00 -9.7411e-01 -3.5666e+00 +4.8714e+00 -2.2988e+00 +1.2684e+00
4 +2.760966447e+01 +2.760966447e+01 +9.929966447e+01 +9.929966447e+01 +4.6961e-02 -8.5715e-01 +7.2107e-01 -1.1065e+00 +1.0811e+00 -2.7014e-01 +4.9903e+00 -4.4140e+00 -3.9054e+00 +1.2626e+00 +2.9034e+00 -4.3928e+00 +2.8223e+00 -5.8782e-01 +2.7731e+00 -3.1179e+00 -1.2180e+00 -6.8746e-01 -2.7947e-01 +1.3197e+00
