% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.783664638e+05 +4.783664638e+05 +4.785156138e+05 +4.785156138e+05 -2.8128e+00 -4.4298e+00 +4.1895e+00 +4.2836e+00 -2.6079e+00 -2.2511e+00 +6.0009e-01 +8.0312e-01 +4.6949e+00 +4.0476e-01 -2.4056e+00 -8.5136e-01 -1.6814e+00 +2.9976e+00 -2.0765e+00 +2.6581e+00 +1.6136e+00 +4.9936e+00 +4.1423e+00 +8.2209e-01
6 +3.524572517e+05 +3.524572517e+05 +3.526064017e+05 +3.526064017e+05 +2.4208e+00 -1.7320e+00 -3.2742e+00 +3.5194e+00 +1.0980e+00 +3.4926e+00 -1.4037e+00 -4.0497e+00 +1.8161e+00 +2.1336e-01 -2.2327e+00 -1.3407e+00 +3.3338e+00 +1.9742e+00 +4.5761e+00 -4.3647e+00 +2.0784e+00 +2.7869e+00 -2.0436e+00 -6.5866e-01
8 +2.480035628e+05 +2.480035628e+05 +2.481527128e+05 +2.481527128e+05 +3.1961e-01 +1.4864e-01 +2.1545e+00 -2.1552e-01 -1.3388e+00 +2.7700e+00 +4.4483e+00 -2.9206e+00 +1.7771e+00 -1.1773e+00 -1.7361e+00 -3.2264e+00 +4.2964e+00 -7.1536e-01 +1.1244e+00 -1.2514e+00 +3.6626e-01 +3.6464e+00 +4.4310e-01 +1.3667e+00
57 +1.378712214e+05 +1.378712214e+05 +1.380203714e+05 +1.380203714e+05 -2.9335e+00 -4.2039e+00 +9.0370e-01 +1.7143e+00 -2.9786e+00 -1.7458e+00 -2.5894e+00 -5.0000e+00 -2.0549e+00 -9.3215e-01 +2.5270e-01 +3.1248e+00 -1.5247e+00 +1.5569e+00 -2.2399e+00 -2.8424e+00 -1.7473e+00 +5.0000e+00 -1.1335e+00 +1.3734e+00
59 +6.640259619e+04 +6.640259619e+04 +6.655174619e+04 +6.655174619e+04 -5.0000e+00 -2.0258e+00 -4.7764e-01 +3.2443e+00 -4.4352e+00 -5.0000e+00 -3.4711e+00 -3.6966e+00 +1.0175e+00 -9.6698e-01 -7.6771e-01 +6.3884e-01 -8.6114e-01 -2.0170e+00 -5.0000e+00 -1.3113e+00 +6.0797e-01 -1.0954e+00 -1.0933e+00 -6.5560e-01
88 +5.071928829e+04 +5.071928829e+04 +5.086843829e+04 +5.086843829e+04 -2.6392e+00 +1.4864e-01 +6.7750e-02 +2.6983e+00 -2.3509e+00 -2.5479e+00 -5.0000e+00 -2.7555e+00 +2.6892e+00 +3.7914e-01 +6.0815e-01 +0.0000e+00 +8.1569e-01 -4.0909e+00 -2.4947e+00 +0.0000e+00 +4.3507e-01 +0.0000e+00 -1.9837e+00 +1.7450e+00
100 +3.390272719e+04 +3.390272719e+04 +3.405187719e+04 +3.405187719e+04 +0.0000e+00 -3.1639e+00 +1.9536e+00 +3.7592e+00 -2.3026e+00 -2.5307e+00 +0.0000e+00 -1.4773e+00 +2.3379e+00 -2.0328e+00 -3.2027e-01 +1.5620e+00 +1.0286e-01 -2.0837e+00 -1.0619e+00 +9.7361e-01 +7.4671e-02 +9.4283e-01 -1.6815e+00 -2.5347e+00
383 +2.426868783e+04 +2.426868783e+04 +2.441783783e+04 +2.441783783e+04 +0.0000e+00 -5.3530e-01 +2.0796e+00 +2.0228e+00 -3.4559e+00 -2.3804e+00 -2.3500e-01 -1.6562e+00 +6.6134e-01 -1.1229e+00 +1.0861e-02 +1.7721e+00 +1.3801e+00 +6.1592e-01 +1.5814e-01 +1.3789e+00 -1.6186e+00 -3.5126e-01 -2.4247e+00 -1.1662e+00
574 +1.449804078e+04 +1.449804078e+04 +1.464719078e+04 +1.464719078e+04 +0.0000e+00 +1.0406e+00 +1.8221e+00 +2.6579e+00 -5.0000e+00 -7.0409e-01 +0.0000e+00 -1.3545e+00 +0.0000e+00 -8.0269e-01 -1.6489e+00 -2.0677e+00 +2.7244e+00 +1.7121e-02 +4.0522e-01 -2.3091e+00 +1.2595e+00 +1.6095e-01 -5.0000e+00 -3.6686e-01
949 +8.593810207e+03 +8.593810207e+03 +8.742960207e+03 +8.742960207e+03 -7.6563e-01 +1.0329e-01 +8.6112e-01 +1.9492e+00 -4.7447e+00 -1.2037e+00 -1.0600e+00 -1.3167e+00 -2.3096e+00 -2.1155e+00 -1.1865e+00 +0.0000e+00 +0.0000e+00 -3.3432e+00 -1.0398e+00 -2.5070e+00 +1.2040e+00 +8.3435e-01 -3.1783e+00 -2.0808e+00
1403 +5.871529973e+03 +5.871529973e+03 +6.020679973e+03 +6.020679973e+03 -2.6731e+00 -8.3854e-01 -2.3689e+00 +2.0222e+00 -4.8731e+00 -8.9451e-01 -3.7350e-01 -1.6374e+00 -3.0005e-01 -2.1963e+00 -1.4650e+00 +7.9083e-01 +1.0648e-01 -3.1441e+00 -1.0532e+00 -2.2281e+00 +3.6357e-01 +4.1430e-01 -3.7275e+00 -2.2397e+00
1523 +3.404711472e+03 +3.404711472e+03 +3.553861472e+03 +3.553861472e+03 +5.6087e-01 +2.4530e-01 -8.3060e-01 +1.0362e+00 -4.9079e+00 -2.4124e+00 -1.3494e+00 -1.9118e+00 -3.7266e-01 -2.2373e+00 -1.2438e+00 -7.0790e-01 +1.1828e+00 -2.3998e+00 -1.0339e-01 -1.3914e+00 -1.2580e+00 -1.0593e-01 -3.0793e+00 -3.5290e+00
1813 +2.179244492e+03 +2.179244492e+03 +2.328394492e+03 +2.328394492e+03 -4.2560e-01 -7.0718e-01 -5.5702e-01 +7.7796e-01 -4.9333e+00 -2.4609e+00 -1.4059e+00 -2.0122e+00 -8.5112e-01 -1.2209e+00 -1.3121e+00 -6.2669e-01 +1.5289e+00 -2.3214e+00 -1.1858e-01 +5.6490e-02 -1.2808e+00 -5.8584e-01 -2.9817e+00 -3.5535e+00
2028 +1.367569539e+03 +1.367569539e+03 +1.516719539e+03 +1.516719539e+03 +2.2673e-02 -1.5023e+00 -1.1618e+00 +3.5428e-01 -4.9140e+00 -1.0877e+00 -2.2369e+00 -1.3227e+00 -5.3146e-01 -9.9523e-01 -1.9448e+00 -5.2060e-01 +1.2578e+00 -1.4769e+00 -4.8937e-01 -2.8480e-01 -1.1233e+00 -3.8677e-01 -3.0645e+00 -3.3082e+00
2055 +9.132864356e+02 +9.132864356e+02 +1.062436436e+03 +1.062436436e+03 +3.0496e-01 -6.2888e-01 -7.3436e-01 +4.6548e-01 -4.8740e+00 -1.6379e+00 -7.8691e-01 -1.2474e+00 -7.2367e-01 -8.1898e-01 -2.9086e+00 +7.7692e-01 +2.2207e+00 -9.6421e-01 -1.2835e+00 -8.0982e-01 -4.0750e-01 +3.3825e-01 -3.7594e+00 -3.4350e+00
