% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.603657665e+01 +6.603657665e+01 -3.651342335e+01 -3.651342335e+01 +6.1194e-01 +4.1952e+00 +4.3428e+00 +2.9884e+00 -1.5379e+00 +2.9251e+00 +1.0682e+00 -3.3901e+00 +4.0439e+00 -2.8207e+00 +1.7265e-01 -2.2243e-03 -3.6839e+00 -2.8282e+00 -1.4938e+00 +9.6601e-01 -2.4919e+00 -2.4852e+00 -4.7519e+00 +1.1390e+00
4 +5.244285068e+01 +5.244285068e+01 -5.010714932e+01 -5.010714932e+01 +2.9176e+00 -4.5540e+00 +5.5861e-01 +3.2966e+00 +4.8214e+00 -2.5410e+00 +4.7946e+00 -1.9945e+00 +2.6435e+00 -2.0132e+00 -3.3527e-01 +2.0102e+00 -8.0582e-01 +4.2117e-01 -3.2468e+00 -2.5846e+00 +1.3915e+00 -1.7176e+00 -2.9316e+00 -3.0610e+00
6 +2.319079664e+01 +2.319079664e+01 -7.935920336e+01 -7.935920336e+01 -3.8337e-01 +2.1283e-01 -3.7703e+00 -2.7211e-01 +4.6795e+00 -2.2514e+00 +7.8537e-01 -9.1656e-02 +3.6969e-01 +1.6703e+00 +8.4448e-01 +7.2297e-01 +4.3418e+00 +1.5262e+00 -1.2778e+00 -1.2026e+00 -4.4478e+00 -3.4955e+00 -1.3885e+00 +2.2877e+00
922 +1.115585433e+01 +1.115585433e+01 -9.139414567e+01 -9.139414567e+01 +4.0697e+00 -1.9257e+00 -7.7692e-02 +4.3585e+00 -1.2811e+00 +2.5092e+00 -8.0046e-01 +1.0924e+00 -3.0362e+00 -4.6816e+00 +2.6034e+00 -9.9034e-03 -8.3504e-01 -7.5903e-01 +9.3437e-01 +6.9963e-01 -2.9351e+00 +3.1836e-01 -3.6372e-01 +4.6086e+00
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.504026406e+01 +6.504026406e+01 +1.367302641e+02 +1.367302641e+02 +6.5820e-01 -4.7086e+00 +1.9430e+00 -1.0577e+00 +4.0713e+00 +4.9639e+00 +1.0516e+00 +2.7676e+00 +3.5591e+00 -3.7361e+00 +2.7405e+00 +4.9613e+00 -1.5367e-01 -1.0784e+00 +4.6351e+00 +2.5447e+00 +4.9296e+00 +1.6619e+00 -1.5719e+00 -1.3390e+00
2 +2.809828517e+01 +2.809828517e+01 +9.978828517e+01 +9.978828517e+01 -1.0740e+00 +1.4005e+00 +3.3933e-02 -2.7357e+00 +1.6997e+00 -2.6691e+00 +1.0888e+00 +2.4572e+00 +4.8449e+00 -5.9111e-02 +2.5957e+00 -7.1878e-01 -2.5743e-01 -2.9259e+00 +1.8372e+00 -6.7519e-01 -1.8320e+00 -2.1149e+00 +1.9400e-01 +3.4530e+00
19 +1.660556487e+01 +1.660556487e+01 +8.829556487e+01 +8.829556487e+01 -1.0739e+00 +1.8470e+00 +2.1141e+00 +3.2657e+00 +1.2694e-01 +1.4498e+00 +3.8855e+00 +2.2116e+00 -9.4168e-01 -2.3967e+00 +7.6769e-01 +2.4797e+00 -1.6036e+00 +2.7651e+00 +1.9823e+00 -6.3770e-01 -3.7511e+00 +2.3632e-01 +9.7617e-01 -1.3367e-01
1144 +1.490854450e+01 +1.490854450e+01 +8.659854450e+01 +8.659854450e+01 -2.3920e+00 +1.9949e+00 +1.9177e+00 -8.6698e-01 +1.9805e+00 +2.4659e+00 +3.7670e+00 +7.1999e-01 -2.5426e-01 +5.3662e-01 +2.0183e+00 +5.0458e-01 -1.9096e-01 -1.5223e+00 +8.1611e-01 +5.2705e-01 +4.3026e+00 -2.0020e+00 +1.0949e+00 -2.5151e-01
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.428490040e+01 +5.428490040e+01 +2.682949004e+02 +2.682949004e+02 +2.9408e+00 +3.6561e+00 -3.9130e+00 +1.6066e+00 +3.1063e+00 -1.1001e+00 -3.5205e+00 -4.6104e+00 +2.1236e+00 -4.2661e+00 -1.7156e+00 -6.4120e-01 +3.2182e+00 +6.9760e-01 +4.3834e+00 -3.2821e+00 -4.5562e+00 -2.2140e+00 -4.0334e+00 +8.1641e-01
2 +2.502180897e+01 +2.502180897e+01 +2.390318090e+02 +2.390318090e+02 -4.7959e+00 +1.9763e+00 -2.7910e+00 +4.3193e-01 +2.0871e+00 +8.4895e-01 +1.7276e-01 -1.3428e+00 -2.6917e+00 -8.2786e-01 +3.8883e+00 +3.6993e+00 +1.1029e+00 -7.6850e-01 -2.7372e+00 +1.2279e-01 +2.1041e+00 -1.3709e+00 -2.1073e+00 -1.2659e+00
114 +1.229210465e+01 +1.229210465e+01 +2.263021047e+02 +2.263021047e+02 +1.5072e-01 -1.5483e+00 -4.9629e+00 +1.0466e+00 +3.1363e-02 +3.0813e+00 -4.6814e+00 -4.1569e+00 +4.6927e+00 -1.5259e+00 -1.9125e+00 +3.9136e-01 +5.8789e-01 -1.4967e+00 -2.5592e+00 -2.2667e-01 +3.4354e+00 -3.4604e+00 -1.4155e+00 -4.3640e-01
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.082707582e+01 +7.082707582e+01 +1.234707582e+01 +1.234707582e+01 -3.2473e+00 -7.4588e-01 +1.7212e+00 +4.6365e+00 -2.4595e+00 +3.1861e+00 -2.7985e+00 +1.5072e+00 +2.3731e+00 +4.6908e+00 +4.7551e+00 +1.7347e+00 +1.2767e+00 -3.9089e-01 +4.8801e+00 -2.5668e+00 +3.8478e+00 -6.0102e-01 +3.6560e+00 -2.1565e+00
2 +4.348529124e+01 +4.348529124e+01 -1.499470876e+01 -1.499470876e+01 -3.2594e+00 +1.3659e+00 -2.8317e+00 -3.8273e+00 -2.5513e+00 +4.4943e+00 +3.3353e+00 -4.9353e+00 -2.3731e+00 +3.9438e+00 +3.0871e+00 -3.9553e+00 -2.7068e+00 -1.5613e+00 +9.9651e-01 -1.4456e+00 -1.8051e+00 -4.4781e+00 -2.7214e+00 -1.8136e+00
3 +3.518921692e+01 +3.518921692e+01 -2.329078308e+01 -2.329078308e+01 -3.8002e+00 +1.9564e+00 +4.8298e-01 -1.6708e-01 +3.3075e-01 +3.9377e+00 -1.7925e+00 -4.1257e+00 +4.6269e+00 +4.4819e+00 -3.0871e+00 -3.5272e+00 +1.6190e+00 -4.1644e+00 +6.1586e-01 +6.0979e-01 +3.3032e+00 +3.3095e+00 -2.9311e+00 +4.6477e-01
25 +1.871886612e+01 +1.871886612e+01 -3.976113388e+01 -3.976113388e+01 +8.2245e-02 -5.4441e-02 -7.7137e-02 +4.2561e-01 +8.2816e-01 -2.3576e-01 -3.7527e+00 +1.8159e+00 -3.9302e+00 +6.8828e-01 +1.0487e+00 -3.8551e+00 -3.9881e+00 -1.5849e+00 +2.9480e-03 +2.7292e+00 -1.0634e+00 -9.7100e-01 -1.7584e+00 +1.8583e+00
146 +1.431765001e+01 +1.431765001e+01 -4.416234999e+01 -4.416234999e+01 +2.6348e+00 -1.9411e+00 +1.2511e+00 -3.7370e+00 +4.2181e+00 +3.6225e+00 +1.5045e+00 -1.1464e+00 +1.6844e+00 -3.8584e+00 +2.1066e+00 +1.4962e+00 +1.7410e+00 -7.1102e-01 -1.4434e+00 +2.2451e+00 -2.7691e+00 +1.9453e+00 -1.6658e+00 -1.0280e+00
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.395181791e+01 +4.395181791e+01 -5.691281821e+02 -5.691281821e+02 -1.0664e+00 +8.3580e-01 -4.5590e+00 +1.6481e+00 -3.5722e+00 +6.2684e-02 +3.6417e-01 -2.6396e+00 +3.9234e+00 -4.2472e+00 +7.9484e-01 +4.6556e+00 -8.0545e-01 -1.4057e+00 -1.7355e+00 -1.3216e+00 -4.1440e+00 +3.7386e+00 -1.0731e-01 -3.3053e+00
7 +2.572087969e+01 +2.572087969e+01 -5.873591203e+02 -5.873591203e+02 -2.7352e+00 +2.2970e+00 +1.5756e-02 +2.6043e+00 +4.8165e+00 -1.2103e+00 -2.2634e+00 -8.5803e-03 -1.8760e+00 -1.0300e+00 -2.2238e-02 -8.8766e-01 -2.4290e+00 -4.5939e+00 +9.6414e-01 +3.9260e+00 -1.0947e+00 -7.0384e-01 +1.3874e+00 -4.2540e+00
25 +1.963075470e+01 +1.963075470e+01 -5.934492453e+02 -5.934492453e+02 +2.9488e+00 -2.9251e+00 +1.9625e+00 +1.6094e+00 -1.4826e+00 -1.1718e+00 +7.7079e-01 +1.1040e+00 +2.2841e+00 -1.5960e+00 +2.1250e+00 +2.5509e-01 +2.3153e+00 -4.9915e-01 +2.1689e+00 +1.2587e+00 -2.3502e+00 -9.3044e-01 +1.2485e-01 -3.4811e+00
