% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.728492427e+06 +1.728492427e+06 +1.728528327e+06 +1.728528327e+06 +3.1200e+00 -4.9422e+00 -1.9085e+00 -4.8523e+00 -3.0073e+00 -7.7196e-01 +2.5639e+00 +4.3815e-01 -4.4203e+00 -5.8293e-01 -4.2361e+00 -2.6732e+00 -1.6221e+00 -2.4028e+00 -5.5894e-01 -4.6053e-01 +3.1318e+00 -2.0518e+00 +2.8059e-01 +1.9996e+00
2 +1.076609521e+06 +1.076609521e+06 +1.076645421e+06 +1.076645421e+06 +1.3324e+00 +2.1280e+00 +1.0502e+00 +1.1860e+00 +5.2466e-01 +1.8052e-01 +3.9029e+00 +4.9312e+00 +4.8487e+00 -3.9572e+00 +1.0330e+00 +6.1294e-01 +3.4493e+00 -1.8817e+00 +3.4562e+00 -2.6176e-01 -3.2382e+00 +4.7909e+00 -1.7830e+00 -4.7685e+00
21 +6.226795327e+05 +6.226795327e+05 +6.227154327e+05 +6.227154327e+05 -1.8190e+00 -1.0766e+00 +1.0653e+00 +2.3359e+00 -2.2612e+00 -3.3713e+00 -2.5685e+00 -1.6579e+00 -2.6609e+00 +2.2746e-01 +2.1608e+00 -7.7572e-01 -4.4712e+00 +4.5618e+00 +2.7252e+00 -4.7961e+00 +1.8322e+00 +1.9536e+00 -4.0531e+00 -1.2210e+00
742 +3.407193960e+05 +3.407193960e+05 +3.407552960e+05 +3.407552960e+05 -3.6906e+00 +4.7864e+00 +2.7670e+00 +6.6538e-02 -1.4801e-01 -1.7120e+00 +1.9421e+00 -1.3698e+00 -2.3534e+00 -4.1085e+00 -4.7686e+00 -2.4865e+00 +1.9105e+00 -1.0374e+00 +4.6120e+00 +4.5236e-01 +6.0979e-01 +4.7033e+00 -3.0606e+00 -2.6798e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.067158684e+06 +1.067158684e+06 +1.067190054e+06 +1.067190054e+06 +2.7965e+00 +6.5082e-01 +4.3085e+00 +1.7324e+00 -1.6738e+00 +4.2291e+00 +2.3916e+00 +3.2930e+00 -4.3182e+00 -1.4302e+00 +9.5004e-01 +4.8436e+00 +4.6186e-01 -4.6687e+00 +3.4611e+00 -2.7736e+00 -3.9408e+00 -3.6083e+00 -3.8815e+00 +2.9901e+00
3 +7.517499739e+05 +7.517499739e+05 +7.517813439e+05 +7.517813439e+05 -1.5389e+00 -2.2293e+00 -4.7310e+00 -2.0625e+00 -1.2889e+00 +2.5449e+00 +3.8040e-01 +2.8798e+00 -2.9610e+00 +1.9936e+00 -1.3601e+00 +2.6584e+00 -1.0733e+00 -3.0016e+00 -1.0338e+00 -3.0867e+00 -4.8517e+00 -1.9180e+00 +5.8936e-01 -2.0686e+00
18 +2.830452116e+05 +2.830452116e+05 +2.830765816e+05 +2.830765816e+05 +4.5640e+00 -1.5228e-01 +2.1544e+00 +3.5598e+00 -2.1265e+00 -3.2642e+00 -3.0074e+00 -2.8009e+00 +2.4490e-01 -2.8587e+00 -2.8951e+00 -4.2277e+00 +3.2186e+00 -1.4862e+00 +6.2972e-01 +4.2453e+00 -2.1254e+00 -6.6936e-01 -3.9551e+00 -1.0120e+00
105 +1.631761371e+05 +1.631761371e+05 +1.632075071e+05 +1.632075071e+05 +4.0631e+00 -1.5026e+00 -4.4087e+00 +2.2953e+00 +1.1452e+00 -3.3969e+00 +1.6407e+00 -2.2841e+00 -3.5202e+00 -2.6605e+00 -2.4086e+00 -1.4740e+00 +3.9886e+00 -8.8559e-01 +4.5962e+00 +1.2467e+00 -2.1439e+00 -2.0565e+00 -2.0610e+00 +5.7870e-01
957 +1.472569048e+05 +1.472569048e+05 +1.472882748e+05 +1.472882748e+05 +3.9627e+00 -1.3620e+00 -3.6634e+00 +2.5258e+00 -4.4586e-01 -3.6705e+00 -1.3976e+00 -3.6371e+00 -4.0223e+00 -1.5314e+00 -4.3202e+00 +4.5813e+00 +3.2668e-01 +1.6134e-01 +4.8791e+00 +1.4404e+00 +4.0595e+00 -8.2148e-01 +3.8882e+00 -3.6494e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.954155775e+05 +4.954155775e+05 +4.944155775e+05 +4.944155775e+05 -4.2990e+00 +3.5835e+00 +2.5023e+00 +1.1821e+00 +3.2585e+00 +3.1533e+00 -2.1373e-01 +3.9338e+00 -1.7002e-01 +2.7974e+00 -1.9677e+00 -3.6033e+00 -2.7479e+00 +2.2296e+00 -3.4290e+00 -4.1677e+00 +3.9892e+00 +3.9214e-02 -3.9451e+00 +4.9189e+00
10 +1.879530642e+05 +1.879530642e+05 +1.869530642e+05 +1.869530642e+05 +4.4989e+00 +5.1221e-01 -1.7360e+00 +1.7833e+00 -4.6298e+00 -1.5372e+00 +2.3109e+00 +2.3861e+00 +5.0221e-01 +1.5789e+00 -2.5281e+00 -4.6421e+00 -2.6386e+00 +1.0128e+00 +3.0645e+00 -2.5123e+00 -2.7447e+00 +1.5604e+00 -3.2245e+00 +2.8932e+00
481 +1.201563029e+05 +1.201563029e+05 +1.191563029e+05 +1.191563029e+05 +1.5424e+00 -1.3024e+00 +5.4785e-01 -9.1631e-01 +1.4470e+00 +4.3015e+00 +1.1747e+00 -1.4066e+00 -2.5563e-01 +3.0888e+00 +1.4370e+00 +3.8990e+00 +2.1513e-01 +4.4104e+00 -3.6080e+00 +6.6229e-01 -2.6353e+00 +4.1172e+00 -3.5028e+00 +3.7387e+00
